#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.08896     2.08896           0
           2     2.14761     2.11829   0.0207363
           3     2.19194     2.14284   0.0243512
           4     2.16204     2.14764   0.0187307
           5     2.20124     2.15836   0.0177901
           6      2.2249     2.16945   0.0179516
           7     2.22392     2.17723   0.0169899
           8     2.16849     2.17614   0.0149013
           9     2.17713     2.17625    0.013246
          10      2.1792     2.17654   0.0119247
          11     2.19626     2.17834   0.0109746
          12     2.18263     2.17869   0.0100658
          13       2.194     2.17987  0.00936011
          14     2.20875     2.18193  0.00891597
          15     2.18669     2.18225   0.0083272
          16     2.18901     2.18267  0.00781746
          17     2.19494     2.18339  0.00739082
          18     2.17195     2.18276  0.00700754
          19     2.17914     2.18257  0.00664131
          20     2.19022     2.18295  0.00632025
