#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.171708   -0.171708           0
           2   -0.259618   -0.215663   0.0310811
           3   -0.326155   -0.252494   0.0365197
           4   -0.281393   -0.259719   0.0280954
           5   -0.340101   -0.275795   0.0266824
           6   -0.375869   -0.292474   0.0269487
           7   -0.374099   -0.304135   0.0254971
           8   -0.291048   -0.302499   0.0223624
           9    -0.30403   -0.302669   0.0198784
          10    -0.30706   -0.303108   0.0178954
          11   -0.332829    -0.30581   0.0164712
          12   -0.312272   -0.306349   0.0151074
          13   -0.329307   -0.308115   0.0140482
          14   -0.351455    -0.31121   0.0133815
          15    -0.31841    -0.31169    0.012498
          16   -0.321838   -0.312325   0.0117329
          17   -0.330786   -0.313411   0.0110929
          18   -0.296105   -0.312449   0.0105182
          19   -0.307069   -0.312166  0.00996843
          20   -0.323688   -0.312742  0.00948664
