#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59689     1.59689           0
           2     1.59684     1.59687 1.59283e-05
           3      1.5968     1.59685 2.04601e-05
           4     1.59689     1.59686 1.77111e-05
           5     1.59684     1.59685 1.44514e-05
           6     1.59697     1.59687 2.20015e-05
           7      1.5969     1.59688 1.93151e-05
           8     1.59685     1.59687 1.71327e-05
           9     1.59689     1.59688 1.52762e-05
          10     1.59697     1.59689 1.64592e-05
          11     1.59698     1.59689 1.70539e-05
          12     1.59702      1.5969 1.86571e-05
          13     1.59704     1.59691  1.9807e-05
          14       1.597     1.59692 1.92427e-05
          15     1.59688     1.59692 1.81506e-05
          16     1.59676     1.59691  1.9429e-05
          17     1.59679      1.5969 1.95533e-05
          18     1.59684      1.5969 1.87164e-05
          19     1.59695      1.5969 1.79082e-05
          20     1.59682      1.5969  1.7509e-05
