#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.37591    -0.37591           0
           2   -0.394563   -0.385237   0.0065948
           3   -0.345115   -0.371863   0.0117716
           4    -0.31508   -0.357667   0.0151356
           5   -0.388121   -0.363758   0.0132775
           6   -0.417287   -0.372679   0.0137388
           7   -0.429688   -0.380823   0.0139831
           8   -0.460497   -0.390782   0.0153781
           9   -0.418003   -0.393807   0.0139637
          10   -0.373973   -0.391824   0.0127074
          11   -0.361881   -0.389102   0.0118402
          12      -0.373    -0.38776   0.0109292
          13   -0.407042   -0.389243   0.0101887
          14    -0.39716   -0.389809  0.00947661
          15   -0.379468   -0.389119  0.00886987
          16   -0.445597   -0.392649  0.00899047
          17   -0.460353   -0.396632  0.00930199
          18   -0.433774   -0.398695  0.00901118
          19   -0.361233   -0.396723  0.00874996
          20   -0.380443   -0.395909  0.00835024
