#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.9728      1.9728           0
           2     1.99141      1.9821  0.00657887
           3     1.94192     1.96871   0.0117839
           4     1.91197     1.95452   0.0151338
           5     1.98496     1.96061   0.0132751
           6     2.01426     1.96955    0.013748
           7     2.02659      1.9777    0.013992
           8     2.05735     1.98766   0.0153827
           9     2.01489     1.99068   0.0139679
          10     1.97094     1.98871   0.0127098
          11     1.95886       1.986   0.0118405
          12     1.97002     1.98466   0.0109283
          13     2.00408     1.98616   0.0101892
          14     1.99416     1.98673  0.00947745
          15     1.97635     1.98604  0.00887085
          16     2.04236     1.98956  0.00898776
          17     2.05714     1.99353   0.0092968
          18     2.03062     1.99559  0.00900572
          19     1.95818     1.99362  0.00874436
          20     1.97726     1.99281  0.00834534
