#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           7       9.469     9.25821    0.629112
           7        7.77     9.06221    0.589798
           7      6.4025     7.72586    0.456303
           7      5.2985     6.69221    0.365447
           7        6.06     6.20314    0.153496
           7      4.4515     5.99457    0.578386
           7      4.2465     6.08886    0.917084
           7       5.427     5.31064    0.361425
           7      2.6255     4.02529    0.447693
           7       4.518     3.76721    0.296348
           7      1.5395     2.09979    0.319149
           7      1.1345      2.3085    0.316928
           7       1.268     1.53607    0.178882
           7       1.271       1.231   0.0856973
           7      0.6235    0.616714    0.124904
           7       0.336    0.460429    0.151984
           7       0.286    0.221571   0.0746852
           7      0.0185    0.101143   0.0558621
           7           0   0.0471429    0.041009
           7           0   0.0265714   0.0246004
           7           0   0.0227857   0.0210955


           8       0.017    0.044875   0.0265234
           8      0.4105    0.488312   0.0754093
           8       2.106     1.18931    0.147245
           8      2.7385       2.234    0.149236
           8      3.8045     3.35156    0.312878
           8      4.6845     4.73062     0.52875
           8       8.762     6.18675    0.541744
           8      7.7865     8.09956    0.694613
           8       9.393     9.43788    0.599931
           8       8.596     9.17544    0.555893
           8       9.115     9.06881     0.51611
           8       8.815       7.862    0.419083
           8      7.0715     6.73962    0.322827
           8       6.354       6.222    0.135462
           8       6.321     6.03538    0.507525
           8      3.7065     5.79106    0.849423
           8      3.6725     5.10588    0.369731
           8      3.3775     3.94431    0.398987
           8       2.798     3.64606    0.282987
           8      2.9635     2.20775    0.296956
           8       1.888     2.25594    0.281637
           8       1.084     1.47956    0.165206
           8      0.6725     1.16119   0.0994351
           8      0.6125    0.616187    0.109292
           8      0.6265    0.481187    0.134397
           8      0.5155    0.258313   0.0738358
           8       0.108       0.102   0.0488859
           8           0     0.04125   0.0363038
           8           0     0.02325   0.0217484
           8           0   0.0199375   0.0186498


           9       0.002   0.0401111   0.0240004
           9       0.236    0.460278   0.0720535
           9       1.546     1.22894    0.136114
           9      1.8815     2.19483    0.137698
           9       3.336     3.34983    0.278119
           9       5.163     4.77867    0.472177
           9      8.1345     6.40317    0.522994
           9      9.5495     8.26067    0.635842
           9       9.088       9.399     0.53453
           9        6.47     8.87483    0.569635
           9      9.6915       9.138    0.463379
           9      10.044     8.10444    0.437056
           9       8.419     6.92622    0.336592
           9      5.9345     6.19006     0.12412
           9       6.244     6.05856    0.451662
           9       5.815     5.79372    0.755047
