          20      0.0545     0.08285   0.0210829
          20      0.3905     0.49925   0.0492253
          20      1.3425     1.56183    0.129203
          20       5.137     2.97892     0.25077
          20       3.079      4.1136    0.286053
          20      4.2875     5.32038    0.277862
          20      7.5635     6.71945    0.277732
          20       7.006      8.1898    0.326657
          20      9.3035     9.10002    0.347758
          20      12.357      8.8131    0.329207
          20     10.8415     9.15422    0.261333
          20      6.1435     7.95122    0.314086
          20       7.361     7.07407     0.20181
          20      8.0185     6.53263    0.200806
          20        4.78     6.01867     0.25834
          20      4.4495     5.50325    0.413812
          20         3.6     4.83055     0.29323
          20      4.3075     3.46447    0.247932
          20      3.1935     2.85415    0.220751
          20       1.362     1.90915     0.17614
          20      0.7095     1.58877    0.175437
          20      0.7815      1.3352   0.0967712
          20       0.775      0.8561   0.0839792
          20      0.5725       0.536   0.0594728
          20      0.0855    0.482075   0.0790436
          20       0.376    0.271775   0.0447559
          20       0.072     0.14225   0.0335447
          20       0.038    0.073375    0.037077
          20       0.012    0.023075   0.0108915
          20           0    0.019775   0.0097275
