           1      6.0025      6.0025           0
           2      7.5665      6.7845    0.552958
           3      10.237     7.93533     1.00938
           4      10.102       8.477    0.890589
           5      9.9695      8.7755    0.760853
           6      10.511     9.06475    0.686828
           7     11.7215     9.44429    0.685601
           8       9.393     9.43788    0.599931
           9       9.088       9.399     0.53453
          10      8.0855     9.26765    0.496953
          11      6.7075     9.03491    0.503334
          12       8.674     9.00483    0.462287
          13       7.265       8.871    0.445678
          14       7.335     8.76129    0.427135
          15      8.4745     8.74217    0.399087
          16      10.981     8.88209    0.397919
          17       8.698     8.87126     0.37466
          18      11.149     8.99781    0.374606
          19     10.7365     9.08932    0.365896
          20      9.3035     9.10002    0.347758
