# Generazione: Individuo: Fitness:
1 159 41.9419
1 160 42.0736
1 161 42.1372
1 162 42.1658
1 163 42.3225
1 164 42.4136
1 165 42.4136
1 166 42.4136
1 167 42.6292
1 168 42.6292
1 169 42.8346
1 170 42.8529
1 171 42.8905
1 172 42.8905
1 173 42.9428
1 174 43.0241
1 175 43.0241
1 176 43.0321
1 177 43.8179
1 178 44.0433
1 179 44.4256
1 180 44.4256
1 181 44.4416
1 182 44.5413
1 183 44.7392
1 184 44.7638
1 185 44.8245
1 186 44.882
1 187 44.8949
1 188 45.0876
1 189 45.2719
1 190 45.5541
1 191 46.0666
1 192 46.0804
1 193 46.3092
1 194 46.5058
1 195 46.5443
1 196 47.1539
1 197 47.7097
1 198 47.7547
1 199 49.4889
1 200 49.6353
2 1 26.0735
2 2 28.055
2 3 28.2317
2 4 28.2317
2 5 28.2317
2 6 28.2317
2 7 28.2317
2 8 28.2317
2 9 28.2317
2 10 28.2317
2 11 28.2317
2 12 28.3974
2 13 28.3974
2 14 28.3974
2 15 28.3974
2 16 28.6409
2 17 28.6515
2 18 29.6567
2 19 29.7735
2 20 29.7735
2 21 30.316
2 22 30.698
2 23 31.3822
2 24 31.3822
2 25 31.4116
2 26 31.4116
2 27 31.5891
2 28 31.8929
2 29 31.8929
2 30 31.8929
2 31 32.0217
2 32 32.7784
2 33 32.8358
2 34 32.8358
2 35 32.8358
2 36 32.8621
2 37 32.8621
2 38 32.8621
2 39 32.9212
2 40 33.3681
2 41 33.3681
2 42 33.3681
2 43 33.7254
2 44 33.7254
2 45 34.067
2 46 34.0996
2 47 34.1247
2 48 34.1247
2 49 34.1247
2 50 34.3522
2 51 34.427
2 52 34.4558
2 53 34.5446
2 54 34.6422
2 55 34.8338
2 56 34.8338
2 57 34.8338
2 58 34.9144
2 59 35.1193
2 60 35.1193
2 61 35.1701
2 62 35.5878
2 63 35.5878
2 64 35.7323
2 65 35.8733
2 66 35.9996
2 67 36
2 68 36
2 69 36.0206
2 70 36.0414
2 71 36.0872
2 72 36.0979
2 73 36.0979
2 74 36.1255
2 75 36.1303
2 76 36.1419
2 77 36.482
2 78 36.5164
2 79 36.5164
2 80 36.7387
2 81 36.7387
2 82 37.0011
2 83 37.0202
2 84 37.0489
2 85 37.1559
2 86 37.2449
2 87 37.2449
2 88 37.2736
2 89 37.3186
2 90 37.6732
2 91 37.6732
2 92 37.7142
2 93 37.877
2 94 37.9798
2 95 38.0375
2 96 38.0871
2 97 38.1661
2 98 38.1823
2 99 38.1823
2 100 38.8051
2 101 38.9086
2 102 38.9199
2 103 38.9929
2 104 39.0065
2 105 39.0493
2 106 39.0493
2 107 39.0657
2 108 39.1148
2 109 39.2224
2 110 39.3494
2 111 39.4102
2 112 39.5099
2 113 39.5253
2 114 39.5903
2 115 39.5903
2 116 39.616
2 117 39.7673
2 118 39.7823
2 119 39.846
2 120 39.8461
2 121 39.8793
2 122 39.9923
2 123 40.0537
2 124 40.0582
2 125 40.135
2 126 40.135
2 127 40.1687
2 128 40.2646
2 129 40.2954
2 130 40.4148
2 131 40.4437
2 132 40.5162
2 133 40.6187
2 134 40.6874
2 135 40.7533
2 136 40.7964
2 137 40.9982
2 138 41.0051
2 139 41.0732
2 140 41.1298
2 141 41.1298
2 142 41.1298
2 143 41.3214
2 144 41.3608
2 145 41.4882
2 146 41.5777
2 147 41.6339
2 148 41.6339
2 149 41.6339
2 150 41.6339
2 151 41.6339
2 152 41.6385
2 153 41.6482
2 154 41.6482
2 155 41.6482
2 156 41.7267
2 157 41.7841
2 158 41.7875
2 159 41.8489
2 160 41.913
2 161 41.9419
2 162 42.0736
2 163 42.1372
2 164 42.1472
2 165 42.1658
2 166 42.2775
2 167 42.4136
2 168 42.4136
2 169 42.6083
2 170 42.6292
2 171 42.6292
2 172 42.6595
2 173 42.6951
2 174 42.8346
2 175 42.8529
2 176 43.0241
2 177 43.0241
2 178 43.0321
2 179 43.8179
2 180 44.0433
2 181 44.4256
2 182 44.4256
2 183 44.4416
2 184 44.5413
2 185 44.7392
2 186 44.8245
2 187 44.8245
2 188 44.882
2 189 44.8949
2 190 45.0876
2 191 45.1382
2 192 45.2461
2 193 46.0666
2 194 46.0804
2 195 46.2278
2 196 46.3092
2 197 46.5058
2 198 46.5443
2 199 47.1539
2 200 49.4889
3 1 26.0735
3 2 26.0735
3 3 26.0735
3 4 28.055
3 5 28.055
3 6 28.055
3 7 28.1677
3 8 28.2317
3 9 28.2317
3 10 28.2317
3 11 28.2317
3 12 28.2317
3 13 28.2317
3 14 28.2317
3 15 28.2317
3 16 28.2317
3 17 28.2317
3 18 28.2317
3 19 28.3974
3 20 28.3974
3 21 28.3974
3 22 28.3974
3 23 28.3974
3 24 28.3974
3 25 28.6409
3 26 28.6515
3 27 29.171
3 28 29.6567
3 29 29.6567
3 30 29.7735
3 31 29.7735
3 32 30.316
3 33 30.698
3 34 31.3378
3 35 31.3822
3 36 31.4116
3 37 31.5891
3 38 31.8929
3 39 32.8358
3 40 32.8358
3 41 32.8358
3 42 32.8621
3 43 32.8621
3 44 32.9212
3 45 33.3681
3 46 33.3681
3 47 33.7254
3 48 33.7254
3 49 33.7841
3 50 34.067
3 51 34.0996
3 52 34.1247
3 53 34.1247
3 54 34.427
3 55 34.4558
3 56 34.4932
3 57 34.8338
3 58 34.8338
3 59 34.8338
3 60 34.9144
3 61 35.1193
3 62 35.1193
3 63 35.1193
3 64 35.1193
3 65 35.1701
3 66 35.5878
3 67 35.5878
3 68 35.7323
3 69 35.9996
3 70 36
3 71 36.0414
3 72 36.0872
3 73 36.0979
3 74 36.0979
3 75 36.0979
3 76 36.1303
3 77 36.1419
3 78 36.4885
3 79 36.5164
3 80 36.5164
3 81 36.6266
3 82 36.7387
3 83 36.7387
3 84 37.0489
3 85 37.1559
3 86 37.2239
3 87 37.2449
3 88 37.2736
3 89 37.3186
3 90 37.6732
3 91 37.6732
3 92 37.7142
3 93 37.877
3 94 37.9798
3 95 38.0375
3 96 38.1661
3 97 38.1661
3 98 38.1823
3 99 38.1823
3 100 38.7213
3 101 38.9086
3 102 38.9199
3 103 38.9929
3 104 39.0065
3 105 39.0503
3 106 39.0657
3 107 39.1148
3 108 39.2224
3 109 39.2516
3 110 39.3494
3 111 39.4102
3 112 39.5099
3 113 39.5099
3 114 39.5099
3 115 39.5253
3 116 39.5903
3 117 39.616
3 118 39.7673
3 119 39.7823
3 120 39.846
3 121 39.8461
3 122 39.8461
3 123 40.0537
3 124 40.0582
3 125 40.135
3 126 40.135
3 127 40.135
3 128 40.135
3 129 40.1687
3 130 40.2646
3 131 40.2954
3 132 40.4437
3 133 40.5162
3 134 40.7533
3 135 40.7533
3 136 40.7964
3 137 40.9169
3 138 40.9982
3 139 41.0051
3 140 41.0732
3 141 41.1298
3 142 41.1298
3 143 41.1298
3 144 41.1298
3 145 41.3214
3 146 41.3608
3 147 41.6339
3 148 41.6339
3 149 41.6339
3 150 41.6339
3 151 41.6339
3 152 41.6339
3 153 41.6385
3 154 41.6482
3 155 41.6482
3 156 41.6482
3 157 41.6528
3 158 41.7267
3 159 41.743
3 160 41.7841
3 161 41.8489
3 162 41.9419
3 163 42.0736
3 164 42.1372
3 165 42.1372
3 166 42.1472
3 167 42.2775
3 168 42.4136
3 169 42.6083
3 170 42.6292
3 171 42.6292
3 172 42.6595
3 173 42.6951
3 174 42.8346
3 175 42.8529
3 176 43.0241
3 177 43.0241
3 178 43.0321
3 179 43.0321
3 180 43.0321
3 181 43.5753
3 182 43.8179
3 183 44.0433
3 184 44.0433
3 185 44.4256
3 186 44.4416
3 187 44.5413
3 188 44.8949
3 189 45.0876
3 190 45.1382
3 191 45.2461
3 192 46.0666
3 193 46.0666
3 194 46.0804
3 195 46.2278
3 196 46.3092
3 197 46.3092
3 198 46.3092
3 199 47.1539
3 200 49.4889
4 1 24.3274
4 2 25.3051
4 3 26.0619
4 4 26.0735
4 5 26.0735
4 6 26.0735
4 7 26.0735
4 8 26.0735
4 9 26.0735
4 10 26.0735
4 11 27.9075
4 12 28.055
4 13 28.055
4 14 28.055
4 15 28.055
4 16 28.1677
4 17 28.2317
4 18 28.2317
4 19 28.2317
4 20 28.2317
4 21 28.2317
4 22 28.2317
4 23 28.2317
4 24 28.2317
4 25 28.2317
4 26 28.3974
4 27 28.3974
4 28 28.3974
4 29 28.3974
4 30 28.3974
4 31 28.6409
4 32 29.171
4 33 29.6567
4 34 29.6567
4 35 29.6567
4 36 29.7735
4 37 29.7735
4 38 30.2509
4 39 30.316
4 40 30.316
4 41 30.4087
4 42 31.4116
4 43 31.5891
4 44 31.8929
4 45 31.8929
4 46 31.9265
4 47 32.8358
4 48 32.8358
4 49 32.8621
4 50 32.8621
