#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93587     2.93587           0
           2     2.35646     2.64616    0.204852
           3     2.14308     2.47847    0.193387
           4     2.08747     2.38072    0.167937
           5     2.08286     2.32115     0.14453
           6     2.02431     2.27167    0.128631
           7     1.98532     2.23076    0.116578
           8     2.02121     2.20457    0.104908
           9        1.99     2.18073    0.095922
          10     1.95929     2.15859   0.0888491
          11     1.97213     2.14163    0.082373
          12     1.94127     2.12494   0.0771824
          13      1.9583     2.11212   0.0723018
          14     1.96213     2.10141   0.0679266
          15     1.96702     2.09245   0.0639863
          16     1.97208     2.08492   0.0604277
          17     2.00507     2.08023   0.0570554
          18     1.96257     2.07369   0.0542588
          19     1.93111     2.06619   0.0519194
          20     1.95628     2.06069   0.0496134
