#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
471 0.0174117 0.725986 0.599571 -0.428108 0.00211384
472 0.0172376 0.729562 0.592839 -0.422305 0.00262715
473 0.0170652 0.729492 0.594455 -0.42472 0.00249139
474 0.0168946 0.734181 0.591382 -0.427618 0.00382148
475 0.0167256 0.731759 0.597331 -0.426914 0.00224288
476 0.0165584 0.729985 0.59112 -0.425226 0.0027377
477 0.0163928 0.737598 0.595171 -0.428059 0.00243841
478 0.0162289 0.729795 0.589459 -0.422103 0.00243203
479 0.0160666 0.723287 0.596705 -0.419466 0.00246089
480 0.0159059 0.723287 0.596705 -0.420659 0.00262521
481 0.0157469 0.725485 0.595831 -0.42044 0.00246267
482 0.0155894 0.721281 0.597735 -0.418046 0.00232387
483 0.0154335 0.727392 0.590565 -0.420288 0.00253282
484 0.0152792 0.727392 0.590565 -0.418291 0.00226645
485 0.0151264 0.720033 0.594506 -0.419579 0.00256998
486 0.0149751 0.72203 0.600259 -0.420783 0.00246867
487 0.0148254 0.714973 0.607101 -0.413872 0.00206102
488 0.0146771 0.72204 0.613722 -0.424033 0.00220006
489 0.0145303 0.726068 0.616718 -0.423279 0.00237826
490 0.014385 0.732185 0.620716 -0.425569 0.00235323
491 0.0142412 0.729317 0.622556 -0.428384 0.00320798
492 0.0140988 0.72463 0.627756 -0.422244 0.00268448
493 0.0139578 0.724897 0.622471 -0.424687 0.00262083
494 0.0138182 0.717957 0.620374 -0.419302 0.00187835
495 0.01368 0.715394 0.621351 -0.415382 0.00213498
496 0.0135432 0.722165 0.61936 -0.429451 0.00224171
497 0.0134078 0.724582 0.614261 -0.426206 0.00228523
498 0.0132737 0.729818 0.619603 -0.427139 0.00264745
499 0.013141 0.734411 0.614625 -0.426139 0.00215084
500 0.0130096 0.733431 0.612334 -0.423955 0.00220599
501 0.0128795 0.738947 0.613596 -0.42894 0.00218179
502 0.0127507 0.738947 0.613596 -0.428995 0.0023273
503 0.0126232 0.745086 0.608882 -0.433193 0.00283539
504 0.0124969 0.739995 0.609217 -0.429566 0.00245373
505 0.012372 0.743324 0.609636 -0.434485 0.00235204
506 0.0122482 0.745128 0.611884 -0.433478 0.00224269
507 0.0121258 0.742812 0.611186 -0.432006 0.00213362
508 0.0120045 0.738994 0.615176 -0.431491 0.00226042
509 0.0118845 0.737393 0.61034 -0.431296 0.00230599
510 0.0117656 0.732656 0.608858 -0.42726 0.00240084
511 0.011648 0.731605 0.605954 -0.4233 0.00191712
512 0.0115315 0.728441 0.608254 -0.418524 0.0023304
513 0.0114162 0.7333 0.613165 -0.426972 0.0024758
514 0.011302 0.733366 0.617218 -0.427869 0.00226697
515 0.011189 0.730838 0.62057 -0.428358 0.002251
516 0.0110771 0.730838 0.62057 -0.429214 0.00241886
517 0.0109663 0.730838 0.62057 -0.426181 0.00231026
518 0.0108567 0.735667 0.615841 -0.42671 0.00246827
519 0.0107481 0.733321 0.615391 -0.426364 0.00237017
520 0.0106406 0.734483 0.613027 -0.429626 0.00224534
521 0.0105342 0.736647 0.611794 -0.431042 0.00253946
522 0.0104289 0.731556 0.611414 -0.426356 0.00246317
523 0.0103246 0.72838 0.607101 -0.42583 0.00279858
524 0.0102213 0.728339 0.603375 -0.423593 0.00237205
525 0.0101191 0.730528 0.599219 -0.427921 0.00227622
526 0.0100179 0.732264 0.596545 -0.421394 0.00230247
527 0.00991774 0.737088 0.596364 -0.433751 0.0024459
528 0.00981856 0.732983 0.595127 -0.419654 0.00299204
529 0.00972038 0.731419 0.598337 -0.423049 0.00231836
530 0.00962317 0.727571 0.602978 -0.426598 0.00235644
531 0.00952694 0.723154 0.60709 -0.42643 0.0026425
532 0.00943167 0.723154 0.60709 -0.424629 0.00254344
533 0.00933736 0.722771 0.611262 -0.42419 0.00241259
534 0.00924398 0.722346 0.614217 -0.421602 0.00215432
535 0.00915154 0.726783 0.611699 -0.425802 0.00286851
536 0.00906003 0.730198 0.615386 -0.429994 0.00196848
537 0.00896943 0.730164 0.614502 -0.429985 0.0023869
538 0.00887973 0.729883 0.610402 -0.427851 0.00224622
539 0.00879094 0.726212 0.608679 -0.42516 0.00239081
540 0.00870303 0.72886 0.606959 -0.423805 0.00255669
541 0.008616 0.72886 0.606959 -0.425209 0.00238665
542 0.00852984 0.728307 0.608337 -0.42407 0.001999
543 0.00844454 0.727257 0.61221 -0.423933 0.00221864
544 0.00836009 0.726867 0.611466 -0.427067 0.00249404
545 0.00827649 0.724191 0.612559 -0.423768 0.00253235
546 0.00819373 0.726088 0.608885 -0.423657 0.00215795
547 0.00811179 0.728654 0.611603 -0.421871 0.00241483
548 0.00803067 0.729892 0.610161 -0.419097 0.00260138
549 0.00795036 0.729103 0.613816 -0.42532 0.00220035
550 0.00787086 0.726475 0.616082 -0.425043 0.0022807
551 0.00779215 0.724668 0.614479 -0.424538 0.00230165
552 0.00771423 0.727446 0.615567 -0.425492 0.00236972
553 0.00763709 0.727446 0.615567 -0.425382 0.00193418
554 0.00756072 0.72905 0.613807 -0.424654 0.0022035
555 0.00748511 0.731345 0.611662 -0.427858 0.00230606
556 0.00741026 0.727857 0.612751 -0.424712 0.0025444
557 0.00733616 0.725425 0.613201 -0.423858 0.00235021
558 0.00726279 0.723502 0.609917 -0.425706 0.00202962
559 0.00719017 0.723502 0.609917 -0.424353 0.00234538
560 0.00711827 0.720349 0.611666 -0.421617 0.00242452
561 0.00704708 0.719083 0.611198 -0.425195 0.00222961
562 0.00697661 0.720877 0.607684 -0.423235 0.00253695
563 0.00690685 0.724269 0.60493 -0.423122 0.00230393
564 0.00683778 0.723744 0.60294 -0.423836 0.00232107
565 0.0067694 0.724828 0.601731 -0.425785 0.00208054
566 0.00670171 0.724969 0.600962 -0.421599 0.00231116
567 0.00663469 0.728295 0.600925 -0.427825 0.00235818
568 0.00656834 0.72957 0.602987 -0.425167 0.00223319
569 0.00650266 0.72957 0.602987 -0.424782 0.00242139
570 0.00643763 0.726949 0.603992 -0.423092 0.00253047
571 0.00637326 0.726836 0.601315 -0.418381 0.00248869
572 0.00630952 0.729544 0.602464 -0.42751 0.00240048
573 0.00624643 0.731738 0.600575 -0.423281 0.00234107
574 0.00618396 0.730554 0.598136 -0.42712 0.0023425
575 0.00612212 0.730554 0.598136 -0.4273 0.00275828
576 0.0060609 0.729038 0.595481 -0.412579 0.00295687
577 0.00600029 0.729038 0.595481 -0.418343 0.00263063
578 0.00594029 0.726371 0.592533 -0.420668 0.00218055
579 0.00588089 0.726837 0.592902 -0.418577 0.00256658
580 0.00582208 0.726837 0.592902 -0.419171 0.00255683
581 0.00576386 0.727451 0.590116 -0.419339 0.00245184
582 0.00570622 0.725224 0.589237 -0.418745 0.00264781
583 0.00564916 0.726186 0.589013 -0.419233 0.00252507
584 0.00559267 0.725489 0.588741 -0.41674 0.0028358
585 0.00553674 0.723022 0.588474 -0.409518 0.00261965
586 0.00548137 0.724083 0.589745 -0.42503 0.00249145
587 0.00542656 0.722265 0.587037 -0.41733 0.00264229
588 0.00537229 0.723702 0.586656 -0.416302 0.00233989
589 0.00531857 0.725101 0.585901 -0.424182 0.00238757
590 0.00526538 0.722449 0.585314 -0.415282 0.00283267
591 0.00521273 0.722449 0.585314 -0.41787 0.00244845
592 0.0051606 0.723702 0.583603 -0.421617 0.00258267
593 0.005109 0.723702 0.583603 -0.415225 0.00260256
594 0.00505791 0.721734 0.58462 -0.415576 0.00250324
595 0.00500733 0.720728 0.58482 -0.411778 0.00280406
596 0.00495725 0.720887 0.585189 -0.40753 0.00282644
597 0.00490768 0.722417 0.583066 -0.414484 0.00281976
598 0.0048586 0.720979 0.583487 -0.409922 0.00250114
599 0.00481002 0.720587 0.585504 -0.417378 0.00275357
