#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
110 0.655446 0.460035 0.842341 -0.270219 0.00606877
111 0.648891 0.460035 0.842341 -0.270687 0.004872
112 0.642402 0.243569 0.906876 -0.239323 0.00553969
113 0.635978 0.243569 0.906876 -0.232955 0.0057737
114 0.629618 0.361559 0.924338 -0.268627 0.00658588
115 0.623322 0.266683 1.11951 -0.171042 0.0135944
116 0.617089 0.0190448 1.11352 -0.190043 0.012811
117 0.610918 0.0713152 1.32883 0.267605 0.0310526
118 0.604809 0.0713152 1.32883 0.24935 0.0301255
119 0.598761 0.249218 1.35499 0.430557 0.0396674
120 0.592773 0.0538109 1.48769 0.945466 0.0602826
121 0.586845 0.278812 1.33074 0.408487 0.0334759
122 0.580977 0.0995269 1.39571 0.637696 0.0392087
123 0.575167 0.165287 1.20428 -0.0258591 0.0172716
124 0.569416 0.165287 1.20428 -0.0547656 0.0200495
125 0.563721 0.165287 1.20428 -0.0069654 0.025815
126 0.558084 0.165287 1.20428 -0.0398972 0.0156158
127 0.552503 0.425557 0.937142 -0.261627 0.00701742
128 0.546978 0.311524 1.04557 -0.2268 0.0121285
129 0.541509 0.284442 0.889708 -0.240458 0.00563598
130 0.536093 0.284442 0.889708 -0.23387 0.00579813
131 0.530732 0.413164 0.698762 -0.161068 0.00526907
132 0.525425 0.236617 0.451406 0.662371 0.00968685
133 0.520171 0.389469 0.482803 0.173543 0.00631346
134 0.514969 0.563672 0.525236 -0.21228 0.00515722
135 0.50982 0.816376 0.573274 -0.426806 0.00300575
136 0.504721 0.90758 0.480817 -0.167039 0.00596729
137 0.499674 0.90758 0.480817 -0.154014 0.00574541
138 0.494677 0.873179 0.489372 -0.219469 0.00606177
139 0.489731 0.873179 0.489372 -0.223913 0.00618561
140 0.484833 0.873179 0.489372 -0.226503 0.00689137
141 0.479985 1.03152 0.583866 -0.221334 0.00530511
142 0.475185 0.849848 0.715539 -0.370734 0.00523594
143 0.470433 0.849848 0.715539 -0.370558 0.00750247
144 0.465729 0.849848 0.715539 -0.36315 0.00652004
145 0.461072 0.864854 0.574403 -0.413985 0.00313205
