#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           9    0.387235    0.316584  0.00125683         1.4
          10    0.388084    0.316404  0.00114404         1.4
          11    0.391352     0.31645  0.00104095         1.4
          12    0.391279    0.316186 0.000986988         1.4
          13    0.388897    0.316028 0.000923691         1.4
          14    0.384148    0.316262 0.000886903         1.4
          15    0.387045    0.316538 0.000869717         1.4
          16    0.390943    0.316529 0.000815404         1.4
          17    0.388413    0.316693 0.000783665         1.4
          18    0.389497    0.316871 0.000760167         1.4
          19     0.38959    0.316819 0.000721945         1.4
          20    0.383721    0.316485 0.000759129         1.4
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.431762    0.342236           0         1.3
           2    0.429072    0.343341 0.000781692         1.3
           3    0.432067    0.341424  0.00164972         1.3
           4    0.431631    0.341194   0.0012533         1.3
           5    0.432285    0.341645  0.00108096         1.3
           6    0.428774    0.342989  0.00152175         1.3
           7    0.432638    0.341562  0.00185669         1.3
           8    0.429965    0.342626  0.00190526         1.3
           9    0.425912    0.342801  0.00170161         1.3
          10    0.427124    0.342472  0.00156295         1.3
          11     0.42961    0.342874   0.0014716         1.3
          12    0.431607    0.341799  0.00169641         1.3
          13     0.43118    0.341936  0.00157145         1.3
          14    0.425951    0.342159   0.0014749         1.3
          15    0.427388    0.342514  0.00141863         1.3
          16    0.433354    0.342387   0.0013356         1.3
          17     0.43158    0.342694  0.00129169         1.3
          18    0.431761    0.342547  0.00122826         1.3
          19    0.432776    0.342873  0.00120613         1.3
          20    0.425866    0.342537  0.00119168         1.3
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.479326    0.368423           0         1.2
           2    0.475788    0.369637 0.000858671         1.2
           3    0.476915    0.369565 0.000575519         1.2
           4    0.481018    0.370973  0.00129365         1.2
           5    0.477601    0.371589  0.00117271         1.2
           6    0.476816    0.373024   0.0016341         1.2
           7    0.478828    0.372477  0.00148937         1.2
           8    0.474352    0.372689  0.00131822         1.2
           9     0.47625    0.373005  0.00120889         1.2
          10    0.474436    0.372772  0.00111019         1.2
          11    0.476753    0.372542  0.00103275         1.2
          12    0.477321    0.371369  0.00146917         1.2
          13    0.478321    0.371425  0.00135722         1.2
          14    0.475354    0.371659  0.00128029         1.2
          15    0.474721    0.371797  0.00120238         1.2
          16    0.478265    0.371671  0.00113381         1.2
          17    0.476863    0.371644  0.00106743         1.2
          18     0.47874    0.371433  0.00102884         1.2
          19     0.47943    0.371645  0.00099637         1.2
          20    0.474148    0.371607 0.000947311         1.2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.536699     0.40148           0         1.1
           2     0.52903    0.401088 0.000276762         1.1
           3    0.532709    0.398644  0.00200433         1.1
           4     0.53407     0.39772  0.00170282         1.1
           5    0.530596    0.397191  0.00144208         1.1
           6    0.528346    0.399052  0.00208091         1.1
