#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
          10      2.8643     2.98312   0.0225631         1.4
          11     2.94614     2.97975   0.0207608         1.4
          12     3.01191     2.98243   0.0192029         1.4
          13     2.84965     2.97222    0.020261         1.4
          14     2.96908       2.972    0.018815         1.4
          15     2.98488     2.97285   0.0175803         1.4
          16     2.89792     2.96817    0.017094         1.4
          17     3.01016     2.97064   0.0162659         1.4
          18     2.99651     2.97208   0.0154256         1.4
          19      2.8319      2.9647   0.0162828         1.4
          20      2.9157     2.96225   0.0156519         1.4
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     3.54947     3.54947           0         1.3
           2     3.72208     3.63578   0.0610266         1.3
           3     3.61561     3.62905   0.0410532         1.3
           4     3.54592     3.60827   0.0356649         1.3
           5      3.6241     3.61144    0.028672         1.3
           6     3.62375     3.61349   0.0239668         1.3
           7     3.72704     3.62971   0.0254474         1.3
           8     3.70004      3.6385   0.0237363         1.3
           9     3.50229     3.62337   0.0254709         1.3
          10     3.46039     3.60707   0.0276507         1.3
          11     3.38624     3.58699    0.031595         1.3
          12     3.64584      3.5919   0.0293402         1.3
          13     3.44251     3.58041   0.0292472         1.3
          14     3.54648     3.57798   0.0272583         1.3
          15     3.62579     3.58117   0.0256267         1.3
          16     3.66849     3.58663   0.0245993         1.3
          17     3.72652     3.59486     0.02449         1.3
          18     3.67055     3.59906   0.0234877         1.3
          19     3.45904     3.59169   0.0233791         1.3
          20     3.43794       3.584   0.0234401         1.3
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     4.33055     4.33055           0         1.2
           2     4.62066     4.47561    0.102568         1.2
           3     4.58213     4.51111   0.0742711         1.2
           4     4.42019     4.48838   0.0590793         1.2
           5     4.37124     4.46496   0.0517007         1.2
           6     4.42396     4.45812    0.043533         1.2
           7     4.44709     4.45655   0.0373425         1.2
           8     4.35791     4.44422   0.0346506         1.2
           9      4.3675     4.43569   0.0318317         1.2
          10     4.25154     4.41728   0.0335554         1.2
          11     4.19561     4.39713   0.0360517         1.2
          12     4.32129     4.39081   0.0335967         1.2
          13     4.24714     4.37975   0.0327797         1.2
          14     4.28565     4.37303   0.0311198         1.2
          15     4.38955     4.37413   0.0290646         1.2
          16     4.54759     4.38498      0.0292         1.2
          17     4.53326      4.3937   0.0287556         1.2
          18     4.54064     4.40186   0.0282931         1.2
          19     4.61265     4.41296   0.0288974         1.2
          20     4.19365     4.40199   0.0294596         1.2
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1      5.7537      5.7537           0         1.1
           2     5.89464     5.82417   0.0498292         1.1
           3     6.02103     5.88979   0.0630399         1.1
           4     5.52105      5.7976   0.0927841         1.1
           5     5.42141     5.72237    0.100191         1.1
           6     5.78961     5.73357   0.0841172         1.1
           7     5.44152     5.69185   0.0817956         1.1
           8     5.34412     5.64839   0.0823138         1.1
           9     5.61519      5.6447   0.0732504         1.1
          10     5.13142     5.59337   0.0819586         1.1
          11     5.45848     5.58111   0.0754197         1.1
          12     5.53013     5.57686   0.0692542         1.1
          13     5.35341     5.55967   0.0660256         1.1
          14     5.59958     5.56252    0.061371         1.1
          15     5.38333     5.55058   0.0584306         1.1
          16     5.59775     5.55352    0.054853         1.1
          17     5.77412      5.5665   0.0531391         1.1
          18     5.65854     5.57161   0.0504323         1.1
          19     5.84736     5.58613   0.0498225         1.1
          20     5.36948     5.57529   0.0484946         1.1
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     7.59072     7.59072           0           1
           2     7.02778     7.30925    0.199029           1
           3     7.71295     7.44382    0.172272           1
           4     6.95045     7.32048    0.167641           1
           5      7.3452     7.32542    0.134186           1
           6     7.55366     7.36346     0.11709           1
           7     7.19589     7.33952    0.102781           1
           8     7.64652      7.3779   0.0968322           1
           9     7.42318     7.38293   0.0862037           1
          10     6.80133     7.32477   0.0952022           1
          11     7.40225     7.33181   0.0868077           1
          12     7.66388     7.35949   0.0838684           1
          13      6.7747      7.3145   0.0886636           1
          14        7.92     7.35775   0.0922779           1
          15     7.03111     7.33598   0.0886583           1
          16     7.35884      7.3374   0.0831287           1
          17      7.3884      7.3404   0.0782929           1
          18     7.19322     7.33223    0.074369           1
          19      7.4449     7.33816   0.0706909           1
          20     6.58631     7.30057   0.0765017           1
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     10.4528     10.4528           0         0.9
           2     9.21706     9.83494    0.436906         0.9
           3     9.92854     9.86614    0.292382         0.9
           4     9.79667     9.84877    0.219802         0.9
           5     10.8372     10.0465    0.249368         0.9
           6      10.381     10.1022    0.213949         0.9
           7      9.5592     10.0246    0.196947         0.9
           8     10.8169     10.1237    0.195649         0.9
           9     10.6945     10.1871    0.183904         0.9
          10     10.1496     10.1833    0.165551         0.9
          11     10.0132     10.1679    0.151222         0.9
          12     10.1741     10.1684    0.138622         0.9
          13     8.87317     10.0688    0.159801         0.9
          14     10.6694     10.1117    0.154039         0.9
          15     10.0647     10.1085    0.143802         0.9
          16     10.6048     10.1395    0.138119         0.9
          17     10.5904     10.1661    0.132515         0.9
          18     9.35916     10.1212    0.132519         0.9
          19     10.7395     10.1538    0.129478         0.9
          20     8.40468     10.0663    0.149653         0.9
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     15.7696     15.7696           0         0.8
           2     13.9333     14.8515    0.649246         0.8
           3     15.1906     14.9645    0.442561         0.8
           4     14.9136     14.9518    0.332104         0.8
           5       14.32     14.8254    0.288723         0.8
           6     16.9441     15.1785    0.402247         0.8
           7     13.9409     15.0017    0.381669         0.8
           8     15.7304     15.0928    0.344659         0.8
           9     15.8927     15.1817    0.317617         0.8
          10      14.422     15.1057    0.294799         0.8
          11     14.5058     15.0512    0.272997         0.8
          12      14.732     15.0246     0.25154         0.8
          13     14.4252     14.9785    0.236378         0.8
          14     13.5042     14.8732    0.241816         0.8
          15     15.4746     14.9133    0.228995         0.8
          16     16.0581     14.9848    0.225585         0.8
          17      18.046     15.1649    0.274945         0.8
          18     13.1546     15.0532     0.28144         0.8
          19     16.4745      15.128    0.276389         0.8
          20     14.1444     15.0788     0.26691         0.8
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     25.2082     25.2082           0         0.7
           2     25.1396     25.1739   0.0242437         0.7
           3     24.9738     25.1072   0.0567894         0.7
           4     24.4014     24.9307    0.158635         0.7
           5     21.8843     24.3215    0.559548         0.7
           6     26.0869     24.6157    0.538118         0.7
           7     21.1357     24.1185    0.651608         0.7
           8     22.8341      23.958    0.589606         0.7
           9     26.2631     24.2141    0.577048         0.7
          10     25.1831      24.311    0.527416         0.7
          11     25.6591     24.4336    0.493503         0.7
          12     22.4725     24.2701    0.478672         0.7
          13     25.7029     24.3803    0.454361         0.7
          14     21.8343     24.1985    0.456855         0.7
          15     23.7101     24.1659    0.427556         0.7
