#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1      -0.615      -0.615           0         1.4
           2   -0.613144   -0.614072 0.000656195         1.4
           3    -0.61394   -0.614028 0.000438936         1.4
           4     -0.6149   -0.614246 0.000379496         1.4
           5   -0.615628   -0.614522 0.000391521         1.4
           6   -0.614596   -0.614535 0.000326459         1.4
           7   -0.614812   -0.614574 0.000282216         1.4
           8   -0.612964   -0.614373 0.000310532         1.4
           9   -0.612104   -0.614121 0.000364266         1.4
          10    -0.61298   -0.614007 0.000345244         1.4
          11   -0.615572   -0.614149 0.000341925         1.4
          12   -0.615628   -0.614272 0.000334906         1.4
          13   -0.613664   -0.614226 0.000312397         1.4
          14   -0.609616   -0.613896 0.000429897         1.4
          15   -0.611952   -0.613767 0.000420324         1.4
          16   -0.615256    -0.61386  0.00040423         1.4
          17   -0.613104   -0.613815 0.000382888         1.4
          18   -0.613968   -0.613824 0.000361711         1.4
          19   -0.614172   -0.613842 0.000343137         1.4
          20    -0.60956   -0.613628 0.000387056         1.4
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.648224   -0.648224           0         1.3
           2   -0.646088   -0.647156  0.00075519         1.3
           3    -0.64858   -0.647631 0.000635356         1.3
           4   -0.648168   -0.647765 0.000490513         1.3
           5   -0.648596   -0.647931 0.000419623         1.3
           6    -0.64572   -0.647563 0.000485243         1.3
           7    -0.64914   -0.647788  0.00046531         1.3
           8   -0.646632   -0.647644 0.000428997         1.3
           9   -0.643644   -0.647199 0.000566526         1.3
          10   -0.644708    -0.64695  0.00056198         1.3
          11    -0.64644   -0.646904   0.0005128         1.3
          12   -0.648424    -0.64703 0.000485466         1.3
          13    -0.64774   -0.647085 0.000451181         1.3
          14   -0.643652    -0.64684 0.000480994         1.3
          15   -0.644704   -0.646697 0.000469528         1.3
          16   -0.649496   -0.646872  0.00047164         1.3
          17   -0.647944   -0.646935  0.00044809         1.3
          18    -0.64828    -0.64701 0.000429379         1.3
          19   -0.648836   -0.647106 0.000417397         1.3
          20    -0.64382   -0.646942 0.000427645         1.3
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.684628   -0.684628           0         1.2
           2   -0.681988   -0.683308 0.000933381         1.2
           3   -0.682844   -0.683153 0.000634939         1.2
           4    -0.68572   -0.683795 0.000731828         1.2
           5   -0.683248   -0.683686 0.000593583         1.2
           6   -0.682544   -0.683495 0.000524261         1.2
           7   -0.684248   -0.683603 0.000460261         1.2
           8   -0.680864   -0.683261 0.000514536         1.2
           9   -0.682228   -0.683146 0.000469981         1.2
          10      -0.681   -0.682931 0.000469418         1.2
          11   -0.682708   -0.682911 0.000427182         1.2
          12   -0.683372   -0.682949 0.000393308         1.2
          13   -0.683816   -0.683016  0.00036866         1.2
          14   -0.681588   -0.682914 0.000356159         1.2
          15   -0.681144   -0.682796 0.000351419         1.2
          16   -0.683824    -0.68286 0.000335277         1.2
          17   -0.682768   -0.682855 0.000315599         1.2
          18   -0.684212    -0.68293  0.00030694         1.2
          19   -0.684556   -0.683016 0.000302477         1.2
          20   -0.680784   -0.682904 0.000307248         1.2
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.725936   -0.725936           0         1.1
           2   -0.720648   -0.723292  0.00186959         1.1
           3   -0.723312   -0.723299  0.00124641         1.1
           4   -0.724232   -0.723532 0.000956395         1.1
           5   -0.721828   -0.723191 0.000823601         1.1
           6   -0.720044   -0.722667  0.00083686         1.1
           7   -0.722888   -0.722698 0.000717905         1.1
           8   -0.718372   -0.722158 0.000806528         1.1
           9   -0.719628   -0.721876 0.000764317         1.1
          10   -0.718792   -0.721568 0.000747536         1.1
          11   -0.721252   -0.721539  0.00068013         1.1
          12   -0.720076   -0.721417  0.00063429         1.1
          13     -0.7216   -0.721431 0.000585654         1.1
          14   -0.720996     -0.7214 0.000544646         1.1
          15   -0.720784   -0.721359 0.000509884         1.1
          16   -0.723064   -0.721466 0.000489022         1.1
          17   -0.720812   -0.721427 0.000461766         1.1
          18     -0.7216   -0.721437 0.000436212         1.1
          19     -0.7223   -0.721482 0.000415612         1.1
          20   -0.719744   -0.721395 0.000403817         1.1
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.763552   -0.763552           0           1
           2   -0.759064   -0.761308  0.00158675           1
           3   -0.761012   -0.761209  0.00106089           1
           4    -0.76372   -0.761837 0.000963622           1
           5   -0.762116   -0.761893 0.000772511           1
           6   -0.760876   -0.761723 0.000662087           1
           7    -0.76362   -0.761994 0.000620473           1
           8    -0.75942   -0.761673 0.000620772           1
           9   -0.759668    -0.76145 0.000590402           1
          10   -0.760728   -0.761378 0.000535755           1
          11   -0.762356   -0.761467 0.000494378           1
          12      -0.765   -0.761761 0.000533714           1
          13   -0.762084   -0.761786 0.000493237           1
          14   -0.763884   -0.761936 0.000480235           1
          15   -0.760092   -0.761813 0.000463682           1
          16   -0.762528   -0.761858 0.000436851           1
          17   -0.760192    -0.76176 0.000421997           1
          18    -0.76218   -0.761783 0.000399199           1
          19    -0.76138   -0.761762 0.000378751           1
          20   -0.759992   -0.761673 0.000370005           1
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.805312   -0.805312           0         0.9
           2   -0.802212   -0.803762  0.00109602         0.9
           3   -0.803076   -0.803533 0.000754154         0.9
           4   -0.805744   -0.804086 0.000740946         0.9
           5   -0.806864   -0.804642 0.000773507         0.9
           6    -0.80608   -0.804881 0.000680727         0.9
           7   -0.803288   -0.804654 0.000620369         0.9
           8    -0.80192   -0.804312 0.000629944         0.9
           9   -0.804096   -0.804288 0.000560407         0.9
          10   -0.805996   -0.804459 0.000529756         0.9
          11   -0.803872   -0.804405 0.000484274         0.9
          12    -0.80864   -0.804758 0.000557862         0.9
          13   -0.802196   -0.804561 0.000548666         0.9
          14   -0.808328    -0.80483 0.000571651         0.9
          15   -0.805728    -0.80489 0.000536665         0.9
          16   -0.805276   -0.804914 0.000503665         0.9
          17   -0.806196    -0.80499 0.000479647         0.9
          18   -0.802844    -0.80487 0.000467578         0.9
          19   -0.805308   -0.804893 0.000443535         0.9
          20   -0.800744   -0.804686 0.000467372         0.9
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.847112   -0.847112           0         0.8
           2   -0.845676   -0.846394 0.000507703         0.8
           3    -0.84714   -0.846643 0.000394695         0.8
           4   -0.850228   -0.847539 0.000830776         0.8
           5   -0.846544    -0.84734 0.000688042         0.8
           6   -0.854704   -0.848567  0.00125859         0.8
           7     -0.8466   -0.848286  0.00110972         0.8
           8   -0.844472    -0.84781  0.00106854         0.8
           9   -0.848312   -0.847865 0.000951267         0.8
          10   -0.848172   -0.847896 0.000856634         0.8
          11   -0.847404   -0.847851 0.000779925         0.8
          12   -0.847904   -0.847856 0.000714944         0.8
          13   -0.847564   -0.847833   0.0006603         0.8
          14   -0.847728   -0.847826 0.000613178         0.8
          15   -0.846236    -0.84772 0.000581387         0.8
          16   -0.851408    -0.84795 0.000588979         0.8
          17    -0.85302   -0.848248 0.000625291         0.8
          18   -0.844436   -0.848037 0.000625397         0.8
          19   -0.851448   -0.848216 0.000617716         0.8
          20   -0.844748   -0.848043 0.000610686         0.8
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.892524   -0.892524           0         0.7
           2   -0.892684   -0.892604 5.65685e-05         0.7
           3   -0.893616   -0.892941 0.000278001         0.7
           4   -0.890228   -0.892263 0.000623358         0.7
           5   -0.887284   -0.891267  0.00102078         0.7
           6   -0.894632   -0.891828 0.000992814         0.7
           7   -0.886512   -0.891069  0.00110386         0.7
           8    -0.88662   -0.890513  0.00109704         0.7
           9   -0.894276   -0.890931  0.00105183         0.7
          10   -0.895372   -0.891375  0.00103618         0.7
          11   -0.893712   -0.891587 0.000963517         0.7
          12   -0.888856    -0.89136  0.00090971         0.7
          13    -0.89274   -0.891466 0.000845906         0.7
          14   -0.888428   -0.891249 0.000812839         0.7
          15    -0.89012   -0.891174 0.000762125         0.7
          16   -0.891304   -0.891182 0.000714536         0.7
          17   -0.900512   -0.891731 0.000857768         0.7
          18   -0.887448   -0.891493 0.000842465         0.7
          19   -0.891344   -0.891485 0.000798161         0.7
          20   -0.891612   -0.891491 0.000758279         0.7
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.934108   -0.934108           0         0.6
           2      -0.935   -0.934554  0.00031537         0.6
           3   -0.930584   -0.933231  0.00110076         0.6
           4   -0.930544   -0.932559  0.00100991         0.6
           5   -0.926128   -0.931273  0.00140577         0.6
           6   -0.936924   -0.932215  0.00145314         0.6
           7   -0.937656   -0.932992  0.00143851         0.6
           8   -0.927408   -0.932294  0.00141797         0.6
           9   -0.936484    -0.93276  0.00133465         0.6
          10   -0.939868    -0.93347  0.00137754         0.6
          11   -0.932272   -0.933361  0.00125661         0.6
          12   -0.933984   -0.933413  0.00115297         0.6
          13   -0.945752   -0.934362  0.00140151         0.6
          14   -0.929104   -0.933987   0.0013508         0.6
          15   -0.939492   -0.934354  0.00130965         0.6
          16   -0.938916   -0.934639  0.00125846         0.6
          17   -0.937476   -0.934806  0.00119544         0.6
          18   -0.929168   -0.934493  0.00116934         0.6
          19   -0.934248    -0.93448  0.00110787         0.6
          20   -0.940316   -0.934772  0.00109023         0.6
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.960844   -0.960844           0         0.5
           2   -0.965024   -0.962934  0.00147785         0.5
           3   -0.966568   -0.964145  0.00139603         0.5
           4   -0.972504   -0.966235  0.00209076         0.5
           5   -0.963168   -0.965622  0.00176029         0.5
           6    -0.97086   -0.966495  0.00166944         0.5
           7   -0.973624   -0.967513  0.00171369         0.5
           8   -0.978336   -0.968866  0.00196211         0.5
           9   -0.971416   -0.969149  0.00176444         0.5
          10   -0.976788   -0.969913  0.00174553         0.5
          11   -0.971244   -0.970034  0.00159103         0.5
          12   -0.971252   -0.970136  0.00146168         0.5
          13   -0.973548   -0.970398  0.00137261         0.5
          14   -0.971688    -0.97049  0.00127765         0.5
          15    -0.97502   -0.970792  0.00122764         0.5
          16   -0.973288   -0.970948  0.00116078         0.5
          17   -0.976972   -0.971303  0.00114531         0.5
          18   -0.973384   -0.971418   0.0010875         0.5
          19     -0.9694   -0.971312  0.00103544         0.5
          20   -0.975816   -0.971537  0.00100786         0.5
