#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           6   0.0888472   0.0735779  0.00440808
           6   0.0611019   0.0641157  0.00319181
           6   0.0581574   0.0576574  0.00164088
           6   0.0411296   0.0578866  0.00569402
           6   0.0480972   0.0592215  0.00941878
           6   0.0522454   0.0489931  0.00389947
           6   0.0288519   0.0394313  0.00423613
           6   0.0312593    0.033723  0.00294654
           6   0.0158009   0.0203071   0.0033187
           6   0.0162037   0.0231867   0.0028092
           6   0.0105185   0.0146366     0.00188
           6   0.0104213   0.0113364 0.000923339
           6  0.00256019  0.00569985  0.00134922
           6           0  0.00445525  0.00162865
           6           0  0.00195216 0.000799604
           6           0  0.00106404 0.000587516
           6           0 0.000509259 0.000435974
           6           0 0.000287037 0.000262028
           6           0 0.000246142 0.000224696


           7           0 0.000452381 0.000277889
           7  0.00818981  0.00462434  0.00079036
           7   0.0110602   0.0097996 0.000864587
           7   0.0230046   0.0200179   0.0014089
           7   0.0360509   0.0304339  0.00324834
           7   0.0588194   0.0438631  0.00559485
           7   0.0687546   0.0538783  0.00442753
           7    0.104611   0.0754101  0.00733706
           7    0.108532   0.0874471  0.00634816
           7   0.0876759   0.0857242  0.00582512
           7   0.0719444   0.0839094  0.00546109
           7   0.0592824   0.0715357  0.00422503
           7   0.0490602   0.0619649  0.00338377
           7   0.0561111   0.0574365  0.00142126
           7   0.0412176   0.0555053  0.00535543
           7   0.0393194   0.0563783  0.00849151
           7     0.05025   0.0491726  0.00334653
           7   0.0243102   0.0372712  0.00414531
           7   0.0418333   0.0348816  0.00274396
           7   0.0142546   0.0194425  0.00295509
           7   0.0105046    0.021375  0.00293452
           7   0.0117407   0.0142229  0.00165632
           7   0.0117685   0.0113981 0.000793494
           7  0.00577315  0.00571032  0.00115651
           7  0.00311111  0.00426323  0.00140726
           7  0.00264815  0.00205159 0.000691529
           7 0.000171296 0.000936508 0.000517242
           7           0 0.000436508 0.000379713
           7           0 0.000246032 0.000227781
           7           0 0.000210979 0.000195328


           8 0.000157407 0.000415509 0.000245587
           8  0.00380093  0.00452141 0.000698235
           8      0.0195   0.0110122  0.00136338
           8   0.0253565   0.0206852  0.00138182
           8   0.0352269    0.031033  0.00289702
           8    0.043375   0.0438021  0.00489583
           8   0.0811296   0.0572847  0.00501615
           8   0.0720972   0.0749959   0.0064316
           8   0.0869722   0.0873877  0.00555492
           8   0.0795926   0.0849578  0.00514715
           8   0.0843981   0.0839705   0.0047788
           8   0.0816204   0.0727963   0.0038804
           8   0.0654769   0.0624039  0.00298914
           8   0.0588333   0.0576111  0.00125428
           8   0.0585278   0.0558831  0.00469931
           8   0.0343194   0.0536209  0.00786503
           8   0.0340046   0.0472766  0.00342343
           8   0.0312731   0.0365214  0.00369433
           8   0.0259074   0.0337598  0.00262025
           8   0.0274398   0.0204421   0.0027496
           8   0.0174815   0.0208883  0.00260775
           8    0.010037   0.0136997  0.00152969
           8  0.00622685   0.0107517 0.000920695
           8   0.0056713  0.00570544  0.00101196
           8  0.00580093  0.00445544  0.00124441
           8  0.00477315  0.00239178 0.000683665
           8       0.001 0.000944444 0.000452648
           8           0 0.000381944 0.000336147
           8           0 0.000215278 0.000201374
           8           0 0.000184606 0.000172684


           9 1.85185e-05 0.000371399 0.000222226
           9  0.00218519  0.00426183 0.000667162
           9   0.0143148   0.0113791  0.00126031
           9   0.0174213   0.0203225  0.00127498
           9   0.0308889    0.031017  0.00257518
           9   0.0478056   0.0442469  0.00437201
           9   0.0753194   0.0592886  0.00484254
           9   0.0884213   0.0764877  0.00588743
           9   0.0841481   0.0870278  0.00494935
           9   0.0599074   0.0821744   0.0052744
           9   0.0897361   0.0846111  0.00429054
           9       0.093   0.0750412  0.00404682
           9   0.0779537   0.0641317  0.00311659
           9   0.0549491   0.0573153  0.00114926
           9   0.0578148   0.0560977  0.00418206
           9   0.0538426   0.0536456  0.00699117
           9   0.0483657   0.0473976  0.00304519
           9   0.0222546   0.0349362  0.00360795
           9   0.0209444   0.0323359  0.00268832
           9    0.016213   0.0199722  0.00248391
           9   0.0119074   0.0198904  0.00250165
           9   0.0152454   0.0138714  0.00136933
           9  0.00614815   0.0102402 0.000949917
           9  0.00165278  0.00525514 0.000994673
           9  0.00087037   0.0040571  0.00116816
           9  0.00389352  0.00255864 0.000627734
           9  0.00214815  0.00107819  0.00042165
           9  0.00118981 0.000471708 0.000310551
           9  0.00099537 0.000301955 0.000196771
           9 0.000444444 0.000213477 0.000155891


          10 0.000680556 0.000402315 0.000202142
          10  0.00508333  0.00434398 0.000605483
          10   0.0261111   0.0128523  0.00179997
          10   0.0218009   0.0204704  0.00115602
          10   0.0341713   0.0313324   0.0023369
          10   0.0521065   0.0450329  0.00400483
          10   0.0682083   0.0601806  0.00443967
          10    0.089625   0.0778014  0.00544329
          10   0.0748657   0.0858116  0.00460142
          10    0.078213   0.0817782  0.00476181
          10   0.0763194   0.0837819   0.0039408
          10   0.0806806   0.0756051  0.00368122
          10   0.0631343   0.0640319  0.00280653
          10   0.0518102   0.0567648  0.00115871
          10   0.0569259   0.0561806  0.00376467
          10   0.0663796    0.054919  0.00640698
          10    0.057625   0.0484204  0.00290735
          10   0.0235926   0.0338019  0.00342083
          10   0.0117639   0.0302787   0.0031085
          10   0.0136204    0.019337  0.00231531
          10   0.0165463    0.019556  0.00227372
          10   0.0146667   0.0139509  0.00123471
          10  0.00417593   0.0096338  0.00103048
          10  0.00223148  0.00495278  0.00094004
          10       0.003  0.00395139  0.00105612
          10  0.00037037  0.00233981 0.000601895
          10  0.00468056  0.00143843 0.000510688
          10 0.000268519 0.000451389  0.00028016
          10 0.000226852 0.000294444 0.000177237
          10  0.00111574 0.000303704 0.000164351


          11   0.0019213 0.000540404 0.000226064
          11  0.00795833  0.00467256 0.000633349
          11   0.0252824   0.0139823  0.00195919
          11   0.0326389   0.0215766  0.00148894
          11    0.034287    0.031601  0.00213983
          11   0.0451481   0.0450434  0.00364077
          11   0.0623148   0.0603746  0.00404031
          11   0.0718935   0.0772643  0.00497487
          11   0.0621065   0.0836566   0.0046605
          11   0.0741389   0.0810838  0.00437927
          11   0.0853287   0.0839226  0.00358505
          11   0.0967454   0.0775269  0.00381539
          11   0.0693148   0.0645122  0.00259216
          11   0.0661759   0.0576204   0.0013323
          11    0.057625   0.0563119  0.00342472
          11   0.0689028   0.0561902  0.00594931
          11   0.0376065   0.0474373  0.00280433
          11   0.0215833   0.0326911  0.00328524
          11   0.0235185   0.0296641  0.00288602
          11   0.0159074   0.0190253  0.00212572
          11  0.00994907   0.0186827  0.00222845
          11    0.012838   0.0138497   0.0011266
          11  0.00552778  0.00926052  0.00100212
          11  0.00202778  0.00468687 0.000891398
          11 0.000953704  0.00367887 0.000994645
          11 6.01852e-05  0.00213258 0.000581762
          11 0.000101852  0.00131692 0.000478498
          11   0.0066713  0.00101684 0.000596264
          11 0.000939815 0.000353114 0.000170559
          11 0.000532407 0.000324495  0.00015072


          12  0.00191204 0.000654707 0.000234347
          12  0.00557407  0.00474769 0.000585009
          12    0.010787    0.013716  0.00181393
          12   0.0310139    0.022363  0.00155878
          12   0.0416204    0.032436  0.00211815
          12   0.0646111    0.046674  0.00368449
          12    0.065537   0.0608048  0.00372645
          12   0.0638981   0.0761505  0.00468333
          12   0.0803148   0.0833781  0.00428044
          12    0.073375   0.0804414  0.00406117
          12   0.0939306   0.0847566  0.00338191
          12      0.0865   0.0782747  0.00356996
          12   0.0696204   0.0649379  0.00241084
          12   0.0531111   0.0572446  0.00127317
          12   0.0596343   0.0565887   0.0031505
          12   0.0480602   0.0555127  0.00549198
          12      0.0395   0.0467758  0.00264749
          12   0.0329537    0.032713  0.00301155
          12   0.0222778   0.0290486  0.00271037
          12   0.0129306   0.0185174  0.00200833
          12  0.00976389   0.0179394  0.00216314
          12   0.0135278   0.0138229  0.00103303
          12  0.00551389   0.0089483 0.000966027
          12  0.00475463  0.00469252 0.000817133
          12  0.00455093  0.00375154 0.000914409
          12  0.00355093  0.00225077 0.000545156
          12 0.000615741  0.00125849 0.000442177
          12 0.000189815 0.000947917 0.000550544
          12 0.000277778 0.000346836 0.000156461
          12 9.25926e-05  0.00030517 0.000139393


          13 0.000453704 0.000639245  0.00021683
          13  0.00609722   0.0048515 0.000549141
          13   0.0159074   0.0138846  0.00168221
          13   0.0264722   0.0226791  0.00147058
          13   0.0590324   0.0344818  0.00277246
          13   0.0649861   0.0480826  0.00366045
          13    0.054875   0.0603486   0.0034676
          13    0.072713    0.075886  0.00433053
          13   0.0672685   0.0821389  0.00412665
          13   0.0857037   0.0808462  0.00376889
          13   0.0733333   0.0838778  0.00323391
          13   0.0651204   0.0772628  0.00343576
          13   0.0701806   0.0653412  0.00225887
          13   0.0544398   0.0570288  0.00119337
          13       0.068   0.0574665  0.00302797
          13   0.0625278   0.0560524  0.00509596
          13    0.034037   0.0457959  0.00261891
          13    0.051375   0.0341485  0.00310323
          13   0.0211296   0.0284395  0.00256942
          13   0.0106343    0.017911  0.00194324
          13  0.00775926   0.0171563  0.00213379
          13  0.00636111   0.0132489  0.00110155
          13  0.00338426   0.0085203 0.000981965
          13  0.00463426  0.00468803 0.000754289
          13  0.00466204  0.00382158 0.000846748
          13    0.005625  0.00251033 0.000561621
          13  0.00214352  0.00132657 0.000413371
          13  0.00114352 0.000962963   0.0005084
          13           0 0.000320157 0.000146683
          13           0 0.000281695 0.000130632


          14  0.00143981 0.000696429 0.000208746
          14  0.00883796  0.00513624 0.000579055
          14   0.0156759   0.0140126  0.00156691
          14   0.0288194   0.0231177  0.00142944
          14   0.0519074   0.0357265  0.00284012
          14   0.0576019   0.0487626  0.00346156
          14   0.0672593   0.0608423  0.00325486
          14   0.0635139   0.0750023  0.00411039
          14   0.0679167    0.081123  0.00395496
          14   0.0793333   0.0807381  0.00350124
          14   0.0748102   0.0832302  0.00306709
          14   0.0620694   0.0761776  0.00335737
          14   0.0604213   0.0649897  0.00212468
          14   0.0726343   0.0581435  0.00154328
          14   0.0672546   0.0581657  0.00289127
          14   0.0541389   0.0559157  0.00473379
          14   0.0666991    0.047289  0.00282559
          14   0.0285185   0.0337464  0.00290751
          14   0.0177731   0.0276776  0.00249629
          14    0.019412   0.0180182  0.00180739
          14  0.00659722   0.0164021  0.00211046
          14    0.012713   0.0132106  0.00102353
          14  0.00508796  0.00827513 0.000941933
          14  0.00398148  0.00463757 0.000702097
          14  0.00558333  0.00394742 0.000795562
          14           0  0.00233102 0.000549384
          14           0  0.00123181 0.000394555
          14           0  0.00089418 0.000476716
          14           0 0.000297288 0.000137977
          14           0 0.000261574 0.000122841


          15  0.00304167 0.000852778 0.000246524
          15  0.00355556  0.00503086 0.000549957
          15   0.0159259   0.0141401  0.00146763
          15   0.0272269   0.0233917  0.00136014
          15   0.0477222   0.0365262  0.00276107
          15   0.0458889    0.048571  0.00323609
          15   0.0548565   0.0604432  0.00306223
          15   0.0809491   0.0753988  0.00385543
          15   0.0784676    0.080946  0.00369525
          15   0.0771898   0.0805015   0.0032758
          15    0.085912    0.083409  0.00286782
          15   0.0709259   0.0758275  0.00315175
          15   0.0824398   0.0661531  0.00227938
          15   0.0773333   0.0594228  0.00189797
          15   0.0509815   0.0576867   0.0027379
          15   0.0294398   0.0541506  0.00473585
          15   0.0671065   0.0486102  0.00292985
          15   0.0334074   0.0337238  0.00271376
          15   0.0168194   0.0269537  0.00243256
          15   0.0133981   0.0177102  0.00171294
          15   0.0101435   0.0159849  0.00201059
          15  0.00964815   0.0129731 0.000982465
          15  0.00612963   0.0081321 0.000889931
          15  0.00262963   0.0045037  0.00066793
          15     0.00375  0.00393426 0.000742633
          15 0.000861111  0.00223302 0.000521425
          15  0.00353241  0.00138519 0.000396943
          15 0.000717593 0.000882407  0.00044508
          15           0 0.000277469 0.000130194
          15           0 0.000244136 0.000115883


          16 3.24074e-05 0.000801505 0.000236388
          16  0.00436574  0.00498929 0.000517153
          16  0.00906944   0.0138232  0.00140971
          16   0.0233796   0.0233909  0.00127513
          16   0.0459815   0.0371172  0.00265099
          16   0.0613426   0.0493692  0.00313073
          16   0.0695417   0.0610119  0.00292317
          16   0.0833889   0.0758981  0.00364667
          16    0.101676   0.0822416  0.00368444
          16   0.0758796   0.0802127  0.00308377
          16   0.0947222    0.084116  0.00277438
          16   0.0721806   0.0755995    0.002963
          16   0.0554444   0.0654838  0.00223302
          16   0.0594491   0.0594245  0.00177934
          16   0.0376898   0.0564369  0.00283774
          16   0.0426528    0.053432  0.00449405
          16   0.0353102   0.0477789  0.00286222
          16   0.0283426   0.0333874  0.00256491
          16   0.0383241   0.0276644  0.00238207
          16   0.0123843   0.0173773  0.00163791
          16   0.0126389   0.0157758  0.00189577
          16    0.012287   0.0129303 0.000921997
          16   0.0116435  0.00835156 0.000860946
          16   0.0066713  0.00463918 0.000639776
          16  0.00261111  0.00385156 0.000700808
          16  0.00219444  0.00223061 0.000488842
          16 0.000796296  0.00134838 0.000373837
          16           0 0.000827257 0.000420665
          16           0 0.000260127 0.000123206
          16           0 0.000228877  0.00010964


          17 0.000736111 0.000797658 0.000222514
          17  0.00387037  0.00492347 0.000490903
          17   0.0184444    0.014095  0.00135274
          17   0.0286528   0.0237004  0.00123712
          17   0.0661157    0.038823  0.00299397
          17   0.0501019   0.0494123  0.00294687
          17   0.0566898   0.0607576  0.00276225
          17   0.0806898     0.07618  0.00344303
          17    0.080537   0.0821413  0.00346907
          17   0.0869537   0.0806092  0.00292776
          17   0.0768148   0.0836865  0.00264422
          17    0.085787   0.0761988  0.00284866
          17   0.0564676   0.0649534  0.00216373
          17    0.072713   0.0602062  0.00183837
          17   0.0633843   0.0568456  0.00270008
          17   0.0303333   0.0520733  0.00443034
          17   0.0406389   0.0473589   0.0027245
          17   0.0194583   0.0325681  0.00254154
          17   0.0164537   0.0270049  0.00233144
          17  0.00648611   0.0167367  0.00166214
          17   0.0115833   0.0155291  0.00180022
          17   0.0148287   0.0130419 0.000874498
          17   0.0099213   0.0084439 0.000815239
          17      0.0085  0.00486629 0.000641185
          17   0.0099213  0.00420861 0.000745005
          17  0.00296759  0.00227397 0.000462005
          17 0.000949074  0.00132489 0.000352584
          17           0 0.000778595 0.000398725
          17           0 0.000244826 0.000116905
          17           0 0.000215414 0.000104014


          18  0.00127778 0.000824331 0.000211745
          18  0.00145833  0.00473097 0.000499954
          18   0.0198426   0.0144144  0.00131473
          18   0.0507546   0.0252034  0.00187048
