#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.613988   -0.613988           0         1.4
           2    -0.61112   -0.612554  0.00101399         1.4
           3   -0.612548   -0.612552 0.000675996         1.4
           4   -0.616216   -0.613468 0.000941455         1.4
           5   -0.611676    -0.61311 0.000818546         1.4
           6    -0.61294   -0.613081 0.000682609         1.4
           7   -0.612808   -0.613042 0.000586209         1.4
           8   -0.611804   -0.612888 0.000532977         1.4
           9   -0.611528   -0.612736   0.0004947         1.4
          10   -0.613052   -0.612768 0.000446235         1.4
          11    -0.61298   -0.612787 0.000406085         1.4
          12   -0.613808   -0.612872 0.000381049         1.4
          13   -0.612412   -0.612837 0.000353379         1.4
          14    -0.61252   -0.612814 0.000328862         1.4
          15   -0.611284   -0.612712 0.000322374         1.4
          16   -0.612212   -0.612681 0.000303738         1.4
          17     -0.6124   -0.612664  0.00028632         1.4
          18   -0.616064   -0.612853 0.000326819         1.4
          19    -0.61376   -0.612901 0.000313083         1.4
          20   -0.610936   -0.612803 0.000312466         1.4
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.647384   -0.647384           0         1.3
           2   -0.644712   -0.646048 0.000944695         1.3
           3   -0.646308   -0.646135 0.000633759         1.3
           4   -0.647116    -0.64638 0.000520644         1.3
           5   -0.646596   -0.646423 0.000418303         1.3
           6   -0.646288   -0.646401 0.000349193         1.3
           7   -0.648792   -0.646742  0.00043545         1.3
           8   -0.645592   -0.646599 0.000404061         1.3
           9   -0.645364   -0.646461 0.000381738         1.3
          10   -0.646364   -0.646452 0.000343688         1.3
          11   -0.647536    -0.64655 0.000326276         1.3
          12   -0.646552    -0.64655 0.000299087         1.3
          13   -0.646824   -0.646571  0.00027682         1.3
          14    -0.64532   -0.646482 0.000271094         1.3
          15   -0.646292   -0.646469 0.000253317         1.3
          16   -0.644784   -0.646364 0.000258458         1.3
          17   -0.646392   -0.646366  0.00024326         1.3
          18   -0.649148    -0.64652 0.000274498         1.3
          19   -0.645732   -0.646479 0.000263167         1.3
          20   -0.644636   -0.646387 0.000265648         1.3
#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:      TEMPERATURE:
           1   -0.684716   -0.684716           0         1.2
           2    -0.68088   -0.682798  0.00135623         1.2
           3    -0.68204   -0.682545 0.000927391         1.2
           4   -0.683272   -0.682727 0.000713115         1.2
           5    -0.68304    -0.68279 0.000573233         1.2
