#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           6    0.303126    0.303188 0.000217779         1.4
           7    0.302996    0.303161 0.000188382         1.4
           8    0.304015    0.303268  0.00019271         1.4
           9    0.304653    0.303422 0.000224537         1.4
          10    0.304203      0.3035 0.000215248         1.4
          11    0.302468    0.303406 0.000215136         1.4
          12    0.302507    0.303331 0.000209846         1.4
          13    0.303771    0.303365 0.000196415         1.4
          14    0.306292    0.303574 0.000271758         1.4
          15    0.304754    0.303653 0.000264788         1.4
          16    0.302685    0.303592 0.000255047         1.4
          17    0.304028    0.303618 0.000241329         1.4
          18    0.303453    0.303609 0.000228095         1.4
          19    0.303403    0.303598 0.000216346         1.4
          20    0.306519    0.303744  0.00025001         1.4
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.325914    0.325914           0         1.3
           2     0.32757    0.326742 0.000585475         1.3
           3    0.325727    0.326404 0.000478267         1.3
           4    0.325995    0.326301 0.000369454         1.3
           5    0.325592     0.32616 0.000321667         1.3
           6    0.327753    0.326425 0.000361462         1.3
           7    0.325375    0.326275 0.000339546         1.3
           8     0.32702    0.326368  0.00030961         1.3
           9    0.329516    0.326718 0.000429479         1.3
          10    0.328769    0.326923 0.000432764         1.3
          11    0.327239    0.326952 0.000394374         1.3
          12    0.326009    0.326873 0.000369245         1.3
          13    0.326272    0.326827 0.000343724         1.3
          14    0.329492    0.327017 0.000368114         1.3
          15    0.328607    0.327123 0.000358497         1.3
          16    0.324934    0.326987 0.000361257         1.3
          17    0.326026     0.32693 0.000344396         1.3
          18    0.325915    0.326874 0.000329848         1.3
          19     0.32529     0.32679 0.000322846         1.3
          20    0.329544    0.326928 0.000334772         1.3
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.348131    0.348131           0         1.2
           2    0.350687    0.349409 0.000903735         1.2
           3    0.349873    0.349564  0.00061557         1.2
           4    0.346909      0.3489 0.000737237         1.2
           5    0.349378    0.348996 0.000595947         1.2
           6    0.349945    0.349154 0.000517187         1.2
           7    0.348491    0.349059 0.000451891         1.2
           8    0.351725    0.349393 0.000503492         1.2
           9    0.350354    0.349499 0.000458733         1.2
          10    0.351664    0.349716 0.000461117         1.2
          11     0.34999    0.349741 0.000419871         1.2
          12     0.34958    0.349727 0.000385095         1.2
          13    0.348858     0.34966 0.000361235         1.2
          14    0.351001    0.349756   0.0003479         1.2
          15    0.351459     0.34987 0.000342722         1.2
          16    0.348898    0.349809 0.000326639         1.2
          17    0.349911    0.349815  0.00030748         1.2
          18    0.348555    0.349745  0.00029826         1.2
          19    0.348056    0.349656 0.000295513         1.2
          20    0.351873    0.349767 0.000300802         1.2
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.364974    0.364974           0         1.1
           2    0.371568    0.368271   0.0023312         1.1
           3    0.368404    0.368315  0.00155456         1.1
           4    0.367235    0.368045  0.00118917         1.1
           5    0.370221     0.36848  0.00102788         1.1
           6    0.372156    0.369093    0.001023         1.1
           7     0.36896    0.369074  0.00087703         1.1
           8     0.37455    0.369758 0.000999455         1.1
           9    0.372854    0.370102 0.000945722         1.1
          10    0.373981     0.37049 0.000927266         1.1
          11    0.371222    0.370557 0.000845352         1.1
          12    0.372488    0.370718 0.000790072         1.1
          13    0.370537    0.370704 0.000729419         1.1
          14     0.37113    0.370734 0.000677951         1.1
          15    0.371629    0.370794 0.000635372         1.1
          16    0.368826    0.370671 0.000607448         1.1
          17    0.371416    0.370715 0.000573296         1.1
          18    0.370311    0.370692 0.000541885         1.1
          19    0.369562    0.370633 0.000516621         1.1
          20     0.37286    0.370744 0.000502652         1.1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.384652    0.384652           0           1
           2    0.391827    0.388239  0.00253684           1
           3    0.388697    0.388392   0.0016958           1
           4    0.384599    0.387444   0.0015139           1
           5    0.387155    0.387386  0.00121222           1
           6    0.388803    0.387622  0.00103292           1
           7    0.384795    0.387218 0.000961085           1
           8    0.391264    0.387724 0.000964893           1
           9    0.390802    0.388066 0.000916275           1
          10    0.389254    0.388185 0.000832307           1
          11    0.386837    0.388062 0.000765606           1
          12    0.382502    0.387599 0.000830274           1
          13    0.387198    0.387568 0.000766979           1
          14    0.384192    0.387327 0.000749152           1
          15    0.390259    0.387522 0.000724262           1
          16    0.386666    0.387469  0.00068097           1
          17    0.389937    0.387614 0.000656204           1
          18      0.3868    0.387569 0.000621305           1
          19    0.388264    0.387605 0.000589682           1
          20    0.390622    0.387756 0.000579165           1
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.392358    0.392358           0         0.9
           2     0.39923    0.395794  0.00242972         0.9
           3     0.39709    0.396226   0.0016578         0.9
           4    0.391433    0.395028   0.0016195         0.9
           5    0.389233    0.393869  0.00165923         0.9
           6    0.391002    0.393391  0.00144989         0.9
           7    0.397095     0.39392  0.00133585         0.9
           8    0.399544    0.394623  0.00134115         0.9
           9    0.394816    0.394645   0.0011923         0.9
          10    0.391074    0.394288  0.00112527         0.9
          11    0.395736    0.394419  0.00103065         0.9
          12    0.385916    0.393711  0.00116315         0.9
          13    0.399175    0.394131  0.00114712         0.9
          14    0.386047    0.393554  0.00120175         0.9
          15    0.391738    0.393433  0.00112771         0.9
          16    0.392471    0.393372  0.00105883         0.9
          17    0.390741    0.393218   0.0010078         0.9
          18    0.397546    0.393458 0.000980075         0.9
          19    0.392687    0.393417 0.000929333         0.9
          20    0.402308    0.393862 0.000983449         0.9
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.386566    0.386566           0         0.8
           2    0.391276    0.388921   0.0016652         0.8
           3    0.386157       0.388  0.00134098         0.8
           4    0.378066    0.385516  0.00237426         0.8
           5    0.388622    0.386137  0.00197898         0.8
           6    0.365792    0.382747   0.0035073         0.8
           7    0.388667    0.383592  0.00310655         0.8
           8    0.394152    0.384912   0.0029855         0.8
           9    0.383194    0.384721  0.00265987         0.8
          10    0.384158    0.384665  0.00239448         0.8
          11    0.386087    0.384794  0.00218029         0.8
          12    0.384542    0.384773   0.0019987         0.8
          13    0.385886    0.384859  0.00184679         0.8
          14    0.385417    0.384899   0.0017153         0.8
          15    0.388916    0.385167  0.00162173         0.8
          16    0.374949    0.384528  0.00164129         0.8
          17    0.370322    0.383692  0.00174455         0.8
          18    0.394398    0.384287  0.00174607         0.8
          19    0.374746    0.383785  0.00172487         0.8
          20     0.39377    0.384284  0.00170935         0.8
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.340043    0.340043           0         0.7
           2    0.339664    0.339854 0.000134043         0.7
           3     0.33624    0.338649 0.000987648         0.7
           4     0.34833    0.341069  0.00222298         0.7
           5    0.360662    0.344988  0.00393018         0.7
           6    0.332555    0.342916   0.0037822         0.7
           7    0.363547    0.345863  0.00423739         0.7
           8    0.363223    0.348033  0.00422701         0.7
           9    0.333441    0.346412   0.0040564         0.7
          10    0.329898     0.34476  0.00397271         0.7
          11      0.3361    0.343973  0.00368874         0.7
          12    0.354941    0.344887  0.00349274         0.7
          13    0.339619    0.344482  0.00324749         0.7
          14    0.356527    0.345342  0.00312742         0.7
          15    0.349826    0.345641  0.00293317         0.7
          16    0.345457     0.34563  0.00274987         0.7
          17    0.309807    0.343522  0.00329811         0.7
          18    0.360093    0.344443  0.00324081         0.7
          19    0.344832    0.344463  0.00307031         0.7
          20    0.343976    0.344439  0.00291689         0.7
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.246652    0.246652           0         0.6
           2    0.242124    0.244388  0.00160083         0.6
           3    0.267012    0.251929  0.00624936         0.6
           4    0.267687    0.255869  0.00579723         0.6
           5    0.289846    0.262664  0.00764528         0.6
           6    0.232077    0.257566   0.0078897         0.6
           7    0.228345    0.253392   0.0077891         0.6
           8    0.284151    0.257237   0.0077062         0.6
           9    0.234256    0.254683  0.00726068         0.6
          10    0.216786    0.250894  0.00745833         0.6
          11    0.257498    0.251494  0.00680442         0.6
          12    0.248115    0.251212  0.00624321         0.6
          13    0.184062    0.246047  0.00760534         0.6
          14    0.273965    0.248041  0.00731887         0.6
          15    0.218346    0.246061  0.00709364         0.6
          16     0.22114    0.244504  0.00681915         0.6
          17    0.228875    0.243585  0.00647969         0.6
          18    0.274442    0.245299  0.00634243         0.6
          19    0.247079    0.245393  0.00600931         0.6
          20    0.214142     0.24383   0.0059085         0.6
#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:      TEMPERATURE:
           1    0.149182    0.149182           0         0.5
           2    0.116379     0.13278   0.0115975         0.5
           3    0.104151    0.123237   0.0109769         0.5
           4   0.0571017    0.106703   0.0165168         0.5
           5     0.13131    0.111625   0.0139273         0.5
           6   0.0699421    0.104678   0.0132257         0.5
           7   0.0473722   0.0964911   0.0136366         0.5
           8   0.0107688   0.0857758   0.0155833         0.5
           9   0.0657099   0.0835463   0.0140104         0.5
          10   0.0230658   0.0774982   0.0138534         0.5
          11   0.0671615   0.0765585   0.0126258         0.5
          12   0.0671642   0.0757757   0.0115979         0.5
          13   0.0485921   0.0736846   0.0108926         0.5
          14   0.0638588   0.0729828   0.0101372         0.5
          15   0.0367532   0.0705675  0.00974486         0.5
          16    0.050848    0.069335  0.00921342         0.5
          17   0.0216143   0.0665279  0.00908902         0.5
          18     0.04925    0.065568  0.00863462         0.5
          19   0.0816558   0.0664147  0.00822157         0.5
          20    0.030867   0.0646374  0.00800031         0.5
