#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           6    0.051252   0.0592253  0.00242365         1.4
           7     0.06344   0.0598274   0.0021509         1.4
           8    0.071082   0.0612343  0.00229648         1.4
           9      0.0655   0.0617082  0.00208966         1.4
          10     0.05328   0.0608654   0.0020436         1.4
          11    0.052138    0.060072  0.00200593         1.4
          12     0.06036    0.060096  0.00183891         1.4
          13    0.066016   0.0605514  0.00175294         1.4
          14    0.076928   0.0617211  0.00197992         1.4
          15    0.052458   0.0611036  0.00194185         1.4
          16    0.067304   0.0614911  0.00185875         1.4
          17     0.05471   0.0610922   0.0017917         1.4
          18    0.060312   0.0610489  0.00169268         1.4
          19    0.065582   0.0612875  0.00162032         1.4
          20    0.056656   0.0610559  0.00155577         1.4
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.08448     0.08448           0         1.3
           2    0.081782    0.083131 0.000953887         1.3
           3    0.076984    0.081082  0.00178979         1.3
           4    0.071804   0.0787625  0.00241598         1.3
           5    0.073692   0.0777484  0.00213503         1.3
           6    0.066802    0.075924  0.00243705         1.3
           7    0.075372   0.0758451  0.00209018         1.3
           8    0.083442   0.0767947  0.00203321         1.3
           9    0.071306   0.0761849  0.00189655         1.3
          10    0.067156    0.075282  0.00190976         1.3
          11    0.062678   0.0741362  0.00205128         1.3
          12    0.071458    0.073913  0.00189244         1.3
          13    0.083034   0.0746146  0.00187242         1.3
          14    0.088938   0.0756377  0.00199874         1.3
          15    0.060898   0.0746551  0.00209315         1.3
          16    0.076698   0.0747827  0.00196622         1.3
          17    0.062734    0.074074  0.00197417         1.3
          18    0.065546   0.0736002   0.0019205         1.3
          19    0.070734   0.0734494  0.00182534         1.3
          20    0.075762    0.073565  0.00173773         1.3
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1     0.10894     0.10894           0         1.2
           2    0.104578    0.106759   0.0015422         1.2
           3    0.098616    0.104045  0.00244311         1.2
           4    0.073482    0.096404  0.00686602         1.2
           5    0.078602   0.0928436  0.00634919         1.2
           6    0.080212   0.0907383  0.00562921         1.2
           7    0.084614   0.0898634  0.00489256         1.2
           8    0.113736   0.0928475  0.00511062         1.2
           9    0.087284   0.0922293  0.00458001         1.2
          10    0.088038   0.0918102  0.00414114         1.2
          11    0.084908   0.0911827  0.00381192         1.2
          12    0.098172   0.0917652  0.00353847         1.2
          13    0.093436   0.0918937  0.00326862         1.2
          14    0.105116   0.0928381  0.00316865         1.2
          15    0.075922   0.0917104  0.00315171         1.2
          16    0.092888    0.091784  0.00295559         1.2
          17    0.089188   0.0916313  0.00278567         1.2
          18     0.07501   0.0907079  0.00277975         1.2
          19    0.088462   0.0905897  0.00263596         1.2
          20    0.084942   0.0903073  0.00251924         1.2
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.120144    0.120144           0         1.1
           2    0.120938    0.120541 0.000280721         1.1
           3    0.136464    0.125849  0.00433773         1.1
           4    0.080594    0.114535   0.0103239         1.1
           5    0.093872    0.110402  0.00904853         1.1
           6    0.108422    0.110072  0.00754646         1.1
           7     0.10885    0.109898  0.00647042         1.1
           8    0.142874     0.11402   0.0068499         1.1
           9    0.107588    0.113305  0.00612597         1.1
          10    0.110924    0.113067    0.005518         1.1
          11    0.100546    0.111929  0.00513242         1.1
          12     0.12543    0.113054  0.00482646         1.1
          13     0.11889    0.113503  0.00447603         1.1
          14    0.125774    0.114379  0.00424127         1.1
          15     0.09532    0.113109  0.00414448         1.1
          16    0.108228    0.112804  0.00389666         1.1
          17     0.09634    0.111835  0.00378587         1.1
          18    0.105806      0.1115  0.00359033         1.1
          19    0.102184     0.11101  0.00343469         1.1
          20    0.097566    0.110338  0.00332808         1.1
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.157052    0.157052           0           1
           2     0.15787    0.157461 0.000289207           1
           3    0.169522    0.161481  0.00328825           1
           4    0.115576    0.150005   0.0102402           1
           5    0.125138    0.145032  0.00932198           1
           6     0.16285    0.148001  0.00822777           1
           7    0.131528    0.145648  0.00738126           1
           8      0.1952    0.151842   0.0086766           1
           9    0.145174    0.151101   0.0077441           1
          10     0.14278    0.150269  0.00701426           1
          11    0.134666    0.148851  0.00651844           1
          12    0.155672    0.149419  0.00599997           1
          13    0.165932    0.150689   0.0056713           1
          14    0.162668    0.151545  0.00533036           1
          15    0.140296    0.150795  0.00502748           1
          16    0.136348    0.149892  0.00479366           1
          17    0.126984    0.148544  0.00469726           1
          18    0.140508    0.148098  0.00445747           1
          19    0.133866    0.147349  0.00428534           1
          20    0.134656    0.146714   0.0041178           1
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.201292    0.201292           0         0.9
           2     0.21644    0.208866  0.00535563         0.9
           3    0.243144    0.220292  0.00998917         0.9
           4    0.166304    0.206795   0.0138836         0.9
           5    0.155708    0.196578   0.0143833         0.9
           6    0.198636    0.196921   0.0119902         0.9
           7     0.18085    0.194625   0.0104948         0.9
           8    0.248166    0.201318   0.0111139         0.9
           9    0.170172    0.197857   0.0104039         0.9
          10       0.213    0.199371  0.00947304         0.9
          11    0.184908    0.198056  0.00870263         0.9
          12    0.203286    0.198492  0.00798831         0.9
          13     0.21561    0.199809  0.00748156         0.9
          14    0.212544    0.200719  0.00700225         0.9
          15    0.204278    0.200956  0.00653945         0.9
          16    0.175746     0.19938   0.0063177         0.9
          17    0.181614    0.198335  0.00603189         0.9
          18    0.193302    0.198056  0.00570326         0.9
          19    0.170828    0.196623  0.00558022         0.9
          20    0.193678    0.196475  0.00530315         0.9
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.299448    0.299448           0         0.8
           2     0.28714    0.293294  0.00435154         0.8
           3     0.33026    0.305616   0.0104708         0.8
           4    0.289392     0.30156  0.00860286         0.8
           5    0.236802    0.288608   0.0134745         0.8
           6    0.269246    0.285381   0.0116087         0.8
           7     0.27176    0.283435   0.0101121         0.8
           8    0.340048    0.290512   0.0110502         0.8
           9     0.29124    0.290593  0.00982269         0.8
          10    0.280862     0.28962  0.00888849         0.8
          11    0.305534    0.291067  0.00819734         0.8
          12    0.321442    0.293598  0.00789539         0.8
          13    0.284838    0.292924  0.00731675         0.8
          14    0.317742    0.294697  0.00700558         0.8
          15    0.266182    0.292796  0.00679156         0.8
          16    0.242216    0.289635  0.00706461         0.8
          17    0.275142    0.288782  0.00670028         0.8
          18    0.297582    0.289271  0.00634585         0.8
          19    0.260396    0.287751  0.00619116         0.8
          20    0.285466    0.287637  0.00588266         0.8
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.456142    0.456142           0         0.7
           2    0.469318     0.46273  0.00465842         0.7
           3    0.498138    0.474533   0.0101249         0.7
           4    0.455734    0.469833  0.00861562         0.7
           5    0.461936    0.468254  0.00703578         0.7
           6    0.464738    0.467668  0.00588749         0.7
           7    0.455976    0.465997  0.00527803         0.7
           8    0.496824    0.469851  0.00585837         0.7
           9     0.43011    0.465435    0.006667         0.7
          10    0.388136    0.457705  0.00947523         0.7
          11     0.46416    0.458292    0.008632         0.7
          12    0.493704    0.461243  0.00840196         0.7
          13     0.45093     0.46045  0.00779302         0.7
          14    0.456508    0.460168  0.00724146         0.7
          15     0.43502    0.458492  0.00695006         0.7
          16    0.397816    0.454699  0.00747906         0.7
          17    0.396882    0.451298  0.00777404         0.7
          18    0.408014    0.448894  0.00770509         0.7
          19    0.387886    0.445683  0.00794046         0.7
          20    0.428544    0.444826  0.00758954         0.7
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.730576    0.730576           0         0.6
           2    0.732736    0.731656 0.000763675         0.6
           3    0.722052    0.728455    0.002663         0.6
           4    0.705034    0.722599  0.00544988         0.6
           5    0.691308    0.716341   0.0070952         0.6
           6    0.714516    0.716037  0.00591918         0.6
           7    0.792894    0.727017   0.0113609         0.6
           8    0.699228    0.723543   0.0104584         0.6
           9    0.689352    0.719744  0.00996245         0.6
          10    0.551976    0.702967   0.0182677         0.6
          11    0.572524    0.691109   0.0200906         0.6
          12    0.844054    0.703854   0.0220923         0.6
          13    0.641216    0.699036   0.0209118         0.6
          14     0.75405    0.702965   0.0197838         0.6
          15    0.631532    0.698203   0.0190294         0.6
          16    0.800626    0.704605   0.0188861         0.6
          17    0.751794     0.70738    0.017978         0.6
          18    0.668402    0.705215   0.0171092         0.6
          19    0.649208    0.702267   0.0164607         0.6
          20    0.799424    0.707125   0.0163387         0.6
#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:      TEMPERATURE:
           1    0.885502    0.885502           0         0.5
           2    0.928008    0.906755   0.0150281         0.5
           3    0.949096    0.920869     0.01527         0.5
           4     0.94002    0.925656     0.01218         0.5
           5      0.8942    0.919365   0.0112521         0.5
           6     0.86608    0.910484   0.0123955         0.5
           7    0.950892    0.916257   0.0118931         0.5
           8    0.733882     0.89346   0.0237282         0.5
           9    0.925906    0.897065   0.0213639         0.5
          10    0.927212     0.90008    0.019439         0.5
          11    0.899052    0.899986   0.0176721         0.5
          12     0.94964    0.904124   0.0166768         0.5
          13     0.94356    0.907158   0.0156674         0.5
          14    0.939956      0.9095   0.0147224         0.5
          15    0.865616    0.906575   0.0140286         0.5
          16    0.946832    0.909091   0.0133756         0.5
          17    0.901174    0.908625   0.0125969         0.5
          18     0.79194    0.902143   0.0134621         0.5
          19    0.890516    0.901531   0.0127675         0.5
          20    0.903908     0.90165   0.0121296         0.5
