#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
          10     2.92753     2.93438   0.0173203         1.4
          11      2.9326     2.93422   0.0157465         1.4
          12     2.93833     2.93456    0.014438         1.4
          13      2.9853     2.93847   0.0138448         1.4
          14     2.89875     2.93563   0.0131433         1.4
          15     2.80537     2.92695   0.0148613         1.4
          16     2.90788     2.92575   0.0139802         1.4
          17     2.91926     2.92537   0.0131631         1.4
          18     3.01149     2.93016   0.0132727         1.4
          19     2.94929     2.93116   0.0126123         1.4
          20     2.83635     2.92642   0.0128418         1.4
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     3.56579     3.56579           0         1.3
           2     3.58032     3.57306  0.00513903         1.3
           3     3.52239     3.55617   0.0142084         1.3
           4      3.5012     3.54243   0.0159745         1.3
           5     3.36105     3.50615   0.0348722         1.3
           6     3.67593     3.53445   0.0388808         1.3
           7     3.58435     3.54158   0.0339738         1.3
           8     3.57842     3.54618   0.0300377         1.3
           9     3.56007     3.54772   0.0267398         1.3
          10     3.64239     3.55719   0.0256868         1.3
          11     3.45182     3.54761   0.0250743         1.3
          12     3.52574     3.54579   0.0230509         1.3
          13     3.63911     3.55297   0.0223676         1.3
          14      3.5925     3.55579   0.0209474         1.3
          15     3.52511     3.55375   0.0196505         1.3
          16     3.50322     3.55059   0.0186743         1.3
          17     3.50738     3.54805    0.017748         1.3
          18     3.60168     3.55103   0.0170103         1.3
          19      3.4466     3.54553   0.0169797         1.3
          20      3.5155     3.54403    0.016197         1.3
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     4.47726     4.47726           0         1.2
           2     4.27396     4.37561   0.0718786         1.2
           3     4.41075     4.38732    0.048864         1.2
           4      4.4573     4.40482   0.0396558         1.2
           5     4.19786     4.36343   0.0487555         1.2
           6     4.36653     4.36394   0.0406324         1.2
           7     4.55509     4.39125   0.0430361         1.2
           8     4.54668     4.41068   0.0418126         1.2
           9     4.39416     4.40884    0.037207         1.2
          10     4.52648     4.42061   0.0352969         1.2
          11      4.4337      4.4218   0.0321082         1.2
          12     4.46095     4.42506   0.0295978         1.2
          13     4.47015     4.42853   0.0275235         1.2
          14     4.39339     4.42602   0.0256717         1.2
          15     4.56734     4.43544   0.0256308         1.2
          16     4.67937     4.45069   0.0282009         1.2
          17     4.39176     4.44722   0.0267542         1.2
          18     4.24109     4.43577   0.0276102         1.2
          19     4.37189     4.43241   0.0263609         1.2
          20     4.35775     4.42867   0.0253057         1.2
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     5.69289     5.69289           0         1.1
           2     5.80969     5.75129   0.0412925         1.1
           3     5.77765     5.76008   0.0284478         1.1
           4     5.44442     5.68116   0.0715945         1.1
           5     5.29324     5.60358   0.0899773         1.1
           6     5.55214     5.59501   0.0753884         1.1
           7     5.61021     5.59718   0.0646499         1.1
           8     5.60464     5.59811   0.0565754         1.1
           9     5.72548     5.61226   0.0520291         1.1
          10      5.5714     5.60818   0.0469864         1.1
          11     5.65816     5.61272    0.042934         1.1
          12     5.41448      5.5962   0.0424154         1.1
          13     5.68452       5.603   0.0396931         1.1
          14     5.70496     5.61028   0.0375201         1.1
          15     5.46315     5.60047   0.0362782         1.1
          16     5.56708     5.59838   0.0340708         1.1
          17     5.49705     5.59242   0.0325839         1.1
          18     5.54944     5.59003   0.0308611         1.1
          19     5.89829     5.60626   0.0332287         1.1
          20     5.68211     5.61005    0.031783         1.1
#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:      TEMPERATURE:
           1     7.33169     7.33169           0           1
           2     7.34296     7.33732  0.00398525           1
           3     7.52976     7.40147   0.0524429           1
           4     7.96491     7.54233    0.128172           1
           5     7.51689     7.53724    0.102638           1
           6     7.54997     7.53936    0.085554           1
           7     7.24499     7.49731   0.0830265           1
           8     7.17041     7.45645     0.08209           1
