#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.95724     1.95724           0
           2     1.57097     1.76411    0.136568
           3     1.42872     1.65231    0.128925
           4     1.39165     1.58715    0.111958
           5     1.38857     1.54743   0.0963531
           6     1.34938     1.51442   0.0857621
           7     1.32868     1.48789   0.0775067
           8     1.32267     1.46724   0.0705162
           9     1.32421     1.45134   0.0644469
          10     1.33254     1.43946   0.0590871
          11     1.30293     1.42705   0.0550038
          12      1.3125     1.41751   0.0512418
          13     1.35849     1.41297   0.0475008
          14     1.35281     1.40867   0.0443018
          15      1.3428     1.40428   0.0415654
          16     1.32331     1.39922   0.0392744
          17     1.27464     1.39189   0.0376415
          18     1.29461     1.38649   0.0359362
          19     1.32761     1.38339   0.0341782
          20      1.3152     1.37998   0.0326389
