#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           6   0.0660278   0.0883056     0.01111
           6   0.0621944    0.067963  0.00554943
           6   0.0159167    0.034287   0.0080617
           6           0   0.0267361  0.00977058
           6           0    0.011713  0.00479763
           6           0  0.00638426  0.00352509
           6           0  0.00305556  0.00261584
           6           0  0.00172222  0.00157217
           6           0  0.00147685  0.00134818


           7           0  0.00271429  0.00166733
           7   0.0314444   0.0256587  0.00376159
           7   0.0874444   0.0618611  0.00639852
           7    0.119917    0.116905  0.00820631
           7    0.222333    0.183563   0.0196705
           7    0.370389    0.264313   0.0346002
           7       0.448    0.327583     0.02898
           7    0.570472    0.445548   0.0401497
           7    0.551944    0.510456   0.0333249
           7    0.581139    0.524143   0.0364912
           7    0.488222    0.512567   0.0312615
           7    0.350389    0.425996   0.0242989
           7    0.324389     0.37752   0.0181891
           7    0.318306    0.342591  0.00926913
           7     0.17175    0.320421   0.0379314
           7    0.241806    0.339143   0.0507024
           7     0.37025    0.304893     0.02244
           7     0.16275    0.226369   0.0237701
           7    0.252083    0.209532   0.0165038
           7   0.0788333    0.115294   0.0180582
           7   0.0573056    0.127115   0.0181281
           7   0.0611944   0.0844325   0.0101755
           7   0.0645278   0.0674722  0.00477831
           7   0.0348889    0.034373  0.00691049
           7   0.0235556   0.0262817  0.00838534
           7   0.0161389   0.0123452  0.00415371
           7 0.000527778  0.00554762  0.00311921
           7           0  0.00261905  0.00227828
           7           0  0.00147619  0.00136669
           7           0  0.00126587  0.00117197


           8      0.0085   0.0034375  0.00160814
           8   0.0144444   0.0242569  0.00354297
           8     0.06025   0.0616597  0.00560187
           8    0.164361    0.122837  0.00907471
           8    0.173361    0.182288    0.017253
           8    0.319722     0.27124   0.0309607
           8    0.407917    0.337625   0.0270413
           8    0.504417    0.452906    0.035799
           8    0.504583    0.509722   0.0291674
           8    0.553694    0.527837   0.0321162
           8    0.584167    0.521517   0.0286063
           8    0.462833    0.430601   0.0216934
           8    0.327083    0.371215   0.0169729
           8    0.343222     0.34267  0.00811082
           8    0.382389    0.328167   0.0339716
           8    0.238639     0.32658   0.0458946
           8    0.213917    0.293521   0.0223314
           8    0.253667    0.229781   0.0210424
           8    0.188222    0.206868   0.0146542
           8   0.0989167    0.113247   0.0159165
           8   0.0512222    0.117628   0.0181756
           8   0.0839444   0.0843715  0.00890377
           8   0.0311944   0.0629375  0.00595602
           8  0.00555556   0.0307708  0.00692214
           8   0.0196111   0.0254479  0.00737851
           8  0.00416667   0.0113229   0.0037582
           8           0  0.00485417  0.00280534
           8           0  0.00229167  0.00201688
           8           0  0.00129167  0.00120824
           8           0  0.00110764   0.0010361


           9  0.00277778   0.0033642  0.00143112
           9     0.02025   0.0238117  0.00317716
           9   0.0844722   0.0641944  0.00552321
           9    0.104806    0.120833  0.00828462
           9    0.113861    0.174685   0.0169285
           9    0.378306    0.283136   0.0297183
           9    0.367694    0.340966   0.0242423
           9    0.463194    0.454049   0.0318396
           9    0.527444    0.511691    0.025993
           9    0.598028    0.535636   0.0294795
           9    0.547361    0.524389   0.0255715
           9    0.611944     0.45075   0.0270688
           9    0.469917    0.382182   0.0182901
           9    0.323611    0.340552  0.00748097
           9    0.292278    0.324179   0.0304302
           9    0.253722    0.318485    0.041503
           9    0.163167    0.279037   0.0240936
           9    0.181944    0.224466    0.019364
           9    0.107306    0.195806   0.0166871
           9     0.09525    0.111247   0.0142731
           9   0.0816389     0.11363   0.0165902
           9    0.112056   0.0874475  0.00842907
           9   0.0396111   0.0603457  0.00583096
           9   0.0196111   0.0295309  0.00626309
           9   0.0179722   0.0246173  0.00660527
           9   0.0105556   0.0112377  0.00334159
           9  0.00730556  0.00512654  0.00250682
           9  0.00205556  0.00226543  0.00179295
           9 0.000694444  0.00122531  0.00107581
           9  0.00116667   0.0011142    0.000921


          10  0.00441667  0.00346944  0.00129188
          10   0.0232222   0.0237528  0.00285999
          10   0.0644167   0.0642167  0.00497093
          10    0.118306    0.120581  0.00746001
          10    0.285944    0.185811   0.0185347
          10    0.279083    0.282731   0.0267492
          10    0.351667    0.342036   0.0218416
          10    0.560778    0.464722   0.0303918
          10    0.559056    0.516428   0.0238213
          10    0.530806    0.535153   0.0265355
          10    0.506444    0.522594   0.0230773
          10    0.598944    0.465569   0.0281275
          10    0.510056    0.394969   0.0204483
          10    0.349667    0.341464  0.00678816
          10    0.232833    0.315044   0.0287255
          10    0.186028    0.305239   0.0394098
          10    0.198667       0.271   0.0229856
          10     0.14925    0.216944   0.0188318
          10    0.140861    0.190311   0.0158972
          10   0.0862778     0.10875   0.0130623
          10      0.0605    0.108317   0.0157589
          10   0.0246944   0.0811722  0.00964321
          10     0.00825   0.0551361  0.00720873
          10   0.0153611   0.0281139  0.00579486
          10   0.0113889   0.0232944  0.00607576
          10   0.0538056   0.0154944  0.00503516
          10       0.046  0.00921389  0.00448619
          10   0.0150556  0.00354444  0.00201895
          10  0.00158333  0.00126111 0.000968829
          10   0.0266389  0.00366667  0.00255943


          11  0.00905556  0.00397727  0.00127033
          11       0.065   0.0275025  0.00442067
          11   0.0752778   0.0652222  0.00461961
          11    0.107472    0.119389  0.00687635
          11    0.172556    0.184606   0.0168888
          11    0.350278    0.288871   0.0250124
          11    0.330472    0.340985   0.0198813
          11    0.508194    0.468674   0.0278847
          11    0.612667    0.525177   0.0232068
          11    0.484306     0.53053   0.0245225
          11    0.577556    0.527591   0.0215134
          11    0.539222    0.472265   0.0263554
          11    0.477861    0.402505   0.0199295
          11    0.369722    0.344033  0.00663939
          11    0.321917    0.315669   0.0261208
          11    0.180472    0.293896   0.0374237
          11    0.272778    0.271162   0.0208966
          11    0.191167    0.214601    0.017265
          11    0.103639    0.182432    0.016288
          11   0.0405833    0.102553   0.0132636
          11   0.0543611    0.103412   0.0150704
          11   0.0146111   0.0751212   0.0104947
          11  0.00222222   0.0503258  0.00799892
          11 0.000166667   0.0255732  0.00579832
          11 0.000166667   0.0211919  0.00587596
          11   0.0361389   0.0173712  0.00491476
          11   0.0465833   0.0126111  0.00520816
          11   0.0555556  0.00827273  0.00486754
          11           0  0.00114646 0.000887511
          11           0  0.00333333  0.00234836


          12 0.000416667  0.00368056  0.00119862
          12  0.00744444    0.025831  0.00435684
          12   0.0991667   0.0680509  0.00502663
          12    0.211222    0.127042  0.00966522
          12    0.251667    0.190194   0.0163799
          12    0.323611    0.291766    0.023095
