# Generazione: Individuo: Fitness:
0 1 2562.57
0 2 2592.57
0 3 2603.01
0 4 2612.57
0 5 2641.53
0 6 2682.07
0 7 2708.54
0 8 2728.59
0 9 2730.75
0 10 2732.36
0 11 2743.09
0 12 2751.08
0 13 2760.1
0 14 2761.3
0 15 2773.24
0 16 2774.71
0 17 2778.17
0 18 2792.61
0 19 2801.08
0 20 2802.64
0 21 2826.59
0 22 2841.96
0 23 2847.73
0 24 2855.27
0 25 2855.57
0 26 2862.72
0 27 2865.96
0 28 2873.37
0 29 2881.14
0 30 2881.22
0 31 2887.39
0 32 2888.46
0 33 2888.77
0 34 2891.08
0 35 2908.83
0 36 2909.38
0 37 2913.01
0 38 2913.05
0 39 2917.02
0 40 2921.52
0 41 2925.49
0 42 2932.42
0 43 2933.71
0 44 2938.53
0 45 2940.14
0 46 2940.87
0 47 2957.8
0 48 2978.72
0 49 2981.45
0 50 2984.78
0 51 2987.74
0 52 2995.11
0 53 2998.6
0 54 2999.89
0 55 3000.32
0 56 3006.64
0 57 3008.1
0 58 3010.05
0 59 3023.63
0 60 3026.77
0 61 3034.99
0 62 3036.88
0 63 3040.36
0 64 3041.43
0 65 3044.73
0 66 3047.41
0 67 3052.46
0 68 3067.11
0 69 3069.54
0 70 3070.15
0 71 3071.73
0 72 3078.68
0 73 3079.98
0 74 3080.25
0 75 3082.17
0 76 3082.18
0 77 3082.71
0 78 3083.71
0 79 3089.93
0 80 3098.91
0 81 3098.97
0 82 3099.62
0 83 3102.4
0 84 3114.68
0 85 3115.64
0 86 3119.06
0 87 3123.72
0 88 3125.33
0 89 3127.63
0 90 3131.1
0 91 3132.86
0 92 3133.79
0 93 3136.4
0 94 3136.54
0 95 3142.93
0 96 3149.11
0 97 3149.51
0 98 3153.86
0 99 3159.34
0 100 3163.68
0 101 3166.58
0 102 3167.02
0 103 3168.25
0 104 3168.65
0 105 3170.88
0 106 3173.12
0 107 3174.94
0 108 3175.1
0 109 3178.34
0 110 3179.27
0 111 3186.99
0 112 3188.93
0 113 3189.98
0 114 3196.25
0 115 3196.88
0 116 3197.12
0 117 3197.44
0 118 3200.5
0 119 3202.34
0 120 3205.13
0 121 3206.59
0 122 3209.01
0 123 3209.02
0 124 3212.5
0 125 3212.53
0 126 3214.41
0 127 3215.78
0 128 3222.22
0 129 3224.14
