# Generazione: Individuo: Fitness:
0 1 47.5326
0 2 48.4155
0 3 48.8424
0 4 49.2212
0 5 49.3472
0 6 50.0231
0 7 50.2207
0 8 50.6445
0 9 50.7203
0 10 51.0084
0 11 51.3865
0 12 52.2817
0 13 52.6413
0 14 52.9584
0 15 53.0362
0 16 53.5518
0 17 53.8662
0 18 54.2783
0 19 54.3232
0 20 54.3233
0 21 54.334
0 22 54.4712
0 23 54.561
0 24 54.5933
0 25 54.8456
0 26 55.0243
0 27 55.0426
0 28 55.1146
0 29 55.7356
0 30 56.5475
0 31 56.7857
0 32 57.1093
0 33 57.1351
0 34 57.1388
0 35 57.2014
0 36 57.2187
0 37 57.3885
0 38 57.4432
0 39 57.7135
0 40 57.7153
0 41 57.72
0 42 57.8
0 43 57.8258
0 44 57.9222
0 45 57.9564
0 46 57.9744
0 47 58.0929
0 48 58.1089
0 49 58.1208
0 50 58.1568
0 51 58.1761
0 52 58.2518
0 53 58.2702
0 54 58.3815
0 55 58.491
0 56 58.4982
0 57 58.605
0 58 58.6385
0 59 58.7375
0 60 58.7965
0 61 58.8039
0 62 59.2058
0 63 59.2688
0 64 59.5092
0 65 59.6045
0 66 59.6763
0 67 59.7543
0 68 59.8588
0 69 59.9592
0 70 59.9975
0 71 60.2414
0 72 60.3095
0 73 60.3625
0 74 60.9637
0 75 61.2964
0 76 61.3082
0 77 61.3847
0 78 61.4214
0 79 61.4358
0 80 61.4541
0 81 61.5321
0 82 61.5847
0 83 61.6085
0 84 61.6982
0 85 61.789
0 86 61.8062
0 87 62.1596
0 88 62.2323
0 89 62.2688
0 90 62.5247
0 91 62.5626
0 92 62.6024
0 93 62.7339
0 94 63.0369
0 95 63.0626
0 96 63.1009
0 97 63.12
0 98 63.4512
0 99 63.7863
0 100 63.7998
0 101 63.941
0 102 63.9552
0 103 64.2324
0 104 64.3544
0 105 64.3779
0 106 64.3855
0 107 64.5202
0 108 64.5524
0 109 64.6166
0 110 64.6646
0 111 64.6843
0 112 64.72
0 113 64.7723
0 114 64.8986
0 115 65.1279
0 116 65.1294
0 117 65.2621
0 118 65.3101
0 119 65.3533
0 120 65.5448
0 121 65.8854
0 122 65.9376
0 123 65.9766
0 124 65.9995
0 125 66.2086
0 126 66.6475
0 127 66.8328
0 128 66.8838
0 129 67.0601
0 130 67.2241
0 131 67.3235
0 132 67.4249
0 133 67.6078
0 134 67.7886
0 135 68.0241
0 136 68.0606
0 137 68.0954
0 138 68.2227
0 139 68.2339
0 140 68.3781
0 141 68.4598
0 142 68.4865
0 143 68.5256
